stage,axial,blastomeres,fin_mesenchyme,gut,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,pericytes,periderm,pronephros,vasculature
  5-6,10.04,19.89,0,0,0,0,0,16.39,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.17,11.24,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.59,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.04
 48-58,0,0,0,0,0,1.39,0,0,0,0,2.35,0,0
 60-70,0,0,0,0.85,3.69,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.1,0,0,0,0,0,0
 84-94,0,0,0,0,1.11,0,0,0,0,0,0,1.07,0
 96-106,0,0,0,0,2.3,0,4.08,0,0,1.57,0,0,0
108-118,0,0,0,1.15,0.56,0,0,0,0,0,0,0,0
120,0,0,3.89,0,10.1,0,0,0,0,0,6.18,0,0
