stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.2,1134.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.78,0,0,0,0,0,0,0,0,0,0
  5-6,30.36,470.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,26.1,0,0,0,0,0,0,0,0,0,0
  7-9,13.33,9.6,0,9.57,0,0,21.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.85,3.58,0,0,43.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.16,0,27.06,0,0,42.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.44,23.21,0,0,39.41,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.83,7.55,0,1.88,0,0,0,4.54,0,0,0,0,0,0,0,0,4.56,0,0,0.84,206.69,9.12,0.85,0.84,2.1,0,0,2.07,1.01,0,88.76,0,0,0,0,0
 24-34,0,0,1.1,0,6.59,0,23.15,0,0,0,10.52,0,0,0.61,0,0,1.14,0.77,4.12,8.14,0,0,5.68,849.89,0.8,10.52,12.39,0,16.17,0,0,0,0.68,210.95,0,0,1.67,0,0
 36-46,0,0,0,0,0.71,0.98,166.71,0,0,0,29.2,0,0,2.2,0,0,2.66,0,0,14.86,0,0,4.34,1465.26,0,0,9.07,0,15.12,0,0,0,0,400.09,0,0,8.72,0,1.67
 48-58,0,0,0,0,12.3,0,256.18,0.71,0,4.42,65.1,0,2.55,5.56,0,0,4.93,0,2.91,30.52,2.16,1.67,0.88,1351.57,0.42,11.95,9.9,0,0,0,0,0,0,276.44,0,1.01,1.3,0,8.59
 60-70,0,0,0.86,0,0.71,0,301.77,0,0,0,42.41,0,0,1.01,0,0,19.59,0,6.87,13.27,5.11,2.19,0,1565.7,0,1.87,44.09,0,11.74,0,0,0,0,157.92,0,0,4.34,0,8.26
 72-82,0,0,0.57,0,13.64,1.29,273.2,0,0,0,37.94,1.23,0,1.5,0,0,15.29,0,0,26.76,1.48,3.7,2.59,1167.95,0,1.12,57.38,0,7.9,1.65,0,0,0,92.86,1.34,0,2.55,1.68,0
 84-94,0,0,0,0,3.59,0,208.25,0,3.24,0,15.48,6.01,0,2.2,1.04,0,18.21,0,1.22,21.95,6.61,7.42,0,624.6,0,0,78.37,0,6.16,0,0,0,0,47.01,4.3,1.87,2.03,0,0
 96-106,0,0,0,0,3.75,0,143.3,0,0,1.02,9.72,2.29,0,6.18,0,2.94,42.77,0,0,22.24,0,2.9,0,489.56,0.66,3.25,95.26,0,1.18,0,0,0,0,19.19,0,0,0,0,2.56
108-118,0,0,0,0,8.32,0,153,1.3,0,0,21.03,1.9,0,5.14,0,0,18.4,0,0,13.73,3.19,1.77,0,580.32,0,1.82,60.7,0,1.03,0,0,0,0,25.37,0,0,4.23,0,0
120,0,0,0,0,0,0,221.49,0,4.76,0,60.57,1.94,0,8.06,0,0,39.82,0,1.54,14.85,0,0,0,1057.55,0,1.77,135.66,0,2.37,0,0,0,0,31.25,0,0,0,0,0
