stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,lateral_line,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,14.43,23.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.81,0,0,0,0,0,0,0,21.06,0,0,6.35,0,0,0
 10-12,0,0,11.39,0,0,0,0,0,0,0,15,0,0,5.36,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0
 60-70,0,0,0,0,2.56,0,0,14.03,0,0,1.3,3.91,11.6,0,0,0,0
 72-82,0,0,0,0,14.67,6.73,0.51,23.1,3.28,1.11,0.77,0,21.41,0,0,0,1.14
 84-94,0,0,0,0,26.59,0,0.87,25.43,1.61,0,5.16,0,7.78,0,0,0,0
 96-106,0,0,0,1.44,40.77,0,0.85,46.77,11.9,0,2.19,0,27.5,0,2.74,0,0
108-118,0,0,0,1.14,60.6,0.64,0,52.45,1.99,0,3.43,0,37.7,0,0,1.9,0
120,0,0,0,1.8,26.05,0,0,40.26,0,0,0,0,34.92,0,0,0,0
