stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,17.57,0,0,0,36.16,0,0,30.96,0,5.88,0,0,0,0
 14-21,0,0,1.66,0,0,0,0,0,0,0,0,8.38,0,0,0,0,2.19,20.9,2.9,0,0,0,0,3.95,0,0,340.68,431.62,2.21,0,0,0
 24-34,0,1.1,3.2,0,0,1.24,17.84,0,0,0,0,16.1,0,0,6.03,0,5.73,52.22,55.74,0,0,0.68,0,1.22,2.33,0,79.6,258.5,4.62,0,0,0
 36-46,0,0,1.46,0,0,2.17,51.51,0.79,0,0,0,20.75,0,0,0,0,0.65,21.02,21.72,0,1.38,0.8,0,4.18,0,0,23.48,14.81,1.05,0,0,0
 48-58,0,0,0.37,0,0,10.57,15.75,0,0,1.61,0,4.47,0.45,0,0,6.68,0.55,5.77,35.34,0,0,0,0,3.32,0,0,14.43,0,0.62,0,0,0
 60-70,0,0,2.39,2.2,0,15.49,35.52,0,0,0.8,0,3.47,1.1,0,0,0,12.33,14.04,24.26,0,0,0,0,0,0,0,19.37,0,0,0,0,0
 72-82,0,0,1.39,0,0,6.8,17.13,0,0,0,0,1.87,0.85,0,0,2.69,4.61,11.9,30.22,0,0,0,0,1.17,0,0.53,12.94,0,0.85,0,3.07,0
 84-94,0,0,0,0,0,17.12,32.5,0,0,2.39,0,0.63,0,0,0,9.3,2.12,12.57,6.56,2.07,0,0,0,5.41,0,0.57,9.02,0,0,2.26,0,10.35
 96-106,0,0,0,7.23,0,16.71,46.8,0,1.21,3.07,1.21,4.05,2.37,0,10.72,0,11.43,6.2,35.71,0,0.95,0,0,4.27,0,2.84,5.33,0,8.12,0,0,0
108-118,0,0,0.62,0,1.51,7.03,44.94,0,0,5.5,0,8.27,0,1.11,0,0,4.15,27.28,20.5,0,1.44,0,0,4.27,0,0,14.13,0,1.28,2.47,3.1,0
120,0,0,0,0,0,10.29,33.72,0,0,0,0,0,0,0,0,0,21.7,14.41,0,0,0,0,0,1.95,1.12,0,2.74,0,0,0,0,0
