stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,103.27,1989.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.71,0,0,0,0,0,0,0
  5-6,54.79,748.43,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.41,22.87,37.43,0,0,58.59,0,0,15.92,0,0,0,0,0,0,678.91,59.71,0,0,175.13,0,17.11,0,0,0,0,0,0
 10-12,0,20.94,14.53,0,0,84.37,0,0,32.3,0,0,0,0,0,0,433.87,17.56,0,0,134.3,0,0,0,17.04,0,0,0,0
 14-21,0,0,0,0.84,3.08,4.51,0,0,0,0,0,0,0,2.15,0.99,47.78,0,0,0,0,0,0,3.95,0.9,0.86,3.84,0,0
 24-34,0,0,0,0,0.76,11.46,0.9,1.92,0,0,0.79,0.74,0,7.91,0.91,83.79,0,0,0.61,0,0,0,0,1.46,1.28,8.61,1.97,0
 36-46,0,0,0,0,0,10.21,0,3.71,0,0,0,0,0,4.28,0,47.8,0,0.63,0.77,0,0,0,0,0,0,2.57,0,0
 48-58,0,0,0,0,0,28.94,0,1.47,0,0,3.61,0,1.04,6.48,0,23.63,0,0,0,0,0,0,0,0,0,0.79,0,0
 60-70,0,0,0,0,0,47.34,0,0,0,0,0,0,0,3.74,0,24.3,0,0.84,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,13.92,0,0,0,0.98,0,0,0,2.6,2.28,3.85,0,0,0,0,0,0,0,0,0,0,0,5.74
 84-94,0,0,0,2.09,0,16.42,0,5.75,0,0.95,0,0,0,5.53,8.3,11.77,0,6.22,0,0,0,0,0,0,0,0,2.46,0
 96-106,0,0,0,0,0,5.27,0,1.42,0,0,0.59,0,0,2.28,0,7.99,0,1.44,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,4.01,0,1.41,0,0.59,0,0,0,2.6,0.86,14.96,0,2.21,0,0,0,0,0,0,0,1.08,0,0
120,0,0,0,0,0,4.58,0,0,0,0,0,0,0,1.91,1.93,9.34,0,0,0,0,0,0,0,0,0,0,0,0
