stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,21.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,34.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.86,0,0,0,25.08,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.08,0,0,0,0,0,1.07,6.9,0,0,2.72,0.9,0,0,0,0,0,11.38,17.38,57.52,2.25,0,0,0,0
 24-34,0,0.6,0,0,0,0,0,0,0,0,3.87,0,0.62,16.51,1.18,1.32,0,0,0,0,0,2.17,3.07,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.69,24.43,0,0,0,0,0,11.89,0,0,0,0,0,0,0
 48-58,0,0,0,24.16,5.54,0,0,0,0,1.86,0.45,0,0.48,84.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,61.75,0,1.64,0,0,0,0,9.54,2.57,3.08,165.37,0,0,6.8,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.16,0,175.89,0,0,2.36,0,0,0,15.8,3.07,4.12,243.67,0,0,0,0,0,0,0,0,9.54,0,0,2.18,0
 84-94,0,1.84,0,96.31,0,0,2.9,0,3.69,0,8.78,5.29,0,136,0,0,0,0,0,0,0,0,2.26,0.78,2.1,7.31,0
 96-106,0,4.43,4.87,104.94,0,0,1.46,1.38,0,0,20.31,11.77,1.26,222.84,0,0,1.8,0,0.71,0,0,0,2.84,0,2.72,0,0
108-118,0,0,0.82,111.15,0,0,2.18,0,0,0,28.04,6,3.02,182.65,0,0,0,0,0.55,0,0,0,4.26,0,0.96,5.15,1.8
120,0,6.06,4.31,338.43,0,0,9.73,0,0,0,78.62,25.37,1.12,606.4,0,0,0,0,0,0,0,0,26.65,0,0,0,0
