stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,211.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.41,557.34,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,13.98,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.27,4.97,0,11.46,0,0,0,44.53,0,0,0,3.49,0,0,0,0,0,0,314.23,0,0,0,74.54,0,5.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.94,0,6.65,0,40.75,0,0,0,0,0,0,0,0,0,0,245.79,8.78,0,0,97.71,0,0,9.03,0,18.67,0,5.74,0,0,0,0,0,0
 14-21,0,0,0,0,9.22,0.96,0,2.92,0,0,0,0,0,0,0,0,6.05,6.97,70.53,0.83,0.92,0,0,0,0,0,14.35,0,3.79,1.77,23.89,0,0,1.63,0,0
 24-34,0,0,0,0,2.84,0,0,5.48,0,0,0,0,0,0,0,0,7.39,0.81,72.87,0,0,1.3,0,0,10.25,0,0,1.45,0,0,11.64,0,0,0.81,0,0
 36-46,0,0,0,0,10.92,0,0,22.52,0,3.48,0,0,0,0,0,0,15.49,4.04,89.18,0,7.07,0.58,0,0,0,0,0,0,4.81,0,21.34,0,0,0.72,0,0
 48-58,0,0,0,0,3.42,0,0,22.58,0.97,4.39,0,0,0.39,0,0,0,7.52,2.1,34.41,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0.6
 60-70,0,0,0,0,3.72,0,0,12.91,0.62,2.1,0,0,0,0,0,0.73,17.68,0.58,27.59,0.68,0.89,0,0,0,0.67,0,0,0,0,0,9.03,0,0,0,0.73,0
 72-82,0,0,0,0,0.6,0,0,12.64,0,1.72,0,0,0,0.8,0,0.66,12.04,0,23.6,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.34,0,0,3.36,0,1.26,0.61,0,1.57,1.69,0.74,0,13.23,0,10.44,0,0,0.74,0,0,1.45,0,0,0,0,0,2.28,0.81,0,0.93,0,0
 96-106,0,0,0.81,0,1.9,0,0,2.45,0,0.72,0,0,0,0,0,0,8.41,1.56,19.62,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.45,0,1.67,1.4,0.61,1.91,0,0,0,0.47,1.18,0,8.11,1.18,5.45,0,0,0,0,1.32,4.51,0,0,0,0,0,0.58,0,1.11,0,0,1.8
120,0,0,0,0,0,0,0,0,19.12,0,1.26,0,0,0,0,0,3.47,2.22,54.69,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0
