stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,6.39,0,0,4.76,0,0,0,2.09,0,0,0,1.16,0,0,0,0.97,0,3.31,24.4,0,4,1.99,0.86,6.43,0.86,6.99,4.92,0,0,0
 24-34,5.59,6.31,0,0,4.06,0.75,0,0,0,1.44,0,0,0.62,0,0,1.14,2.18,0,2.68,28.12,1.36,3.69,0,1.98,0,0,1.63,3.66,0,1.81,0
 36-46,0,1.95,0,0,1.2,0,1.06,0,0,2.28,0,0,0,0,0,0,0,0.59,0,21.87,0,1.23,0,7.48,0,0,0,0.85,0,0,0
 48-58,0,0.79,0,0,5.33,0,0,0,1.66,3.53,0,0,7.36,0,0.37,0,3.22,0,0,5.53,0.58,1.28,0,5.17,0,0,0,2.37,0,0,0
 60-70,0,3.3,0,0,1.43,0,0,0,1.74,0.95,0,0,0,0,1.13,0,1.84,0,0,6.67,0,0.71,0,5.25,0,0,0,3.47,0,1.66,0.69
 72-82,0,0.5,0,0,22.31,0,0,0,1.58,0,0.65,0,0,0,0.89,3.08,1.27,0,0,6.03,0,0,0,5.6,0,0,0,0,0,0,0.55
 84-94,0,5.22,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,5.09,0.95,8.24,0,9.56,0,0.6,0,0,0,0,0
 96-106,1.03,3.25,0,1.05,9.36,0,0,0,0,1.88,0,0.9,0.62,0,1.13,0,0,0,3,7.91,1.27,9.17,0,15.98,0,0,0,0,0,1.81,0
108-118,0,6.49,2.27,0,23.61,0,1.57,0,2.85,0.47,0,0.54,0,0.85,0,0,0.92,2.33,0,13.44,0.89,5.71,0,14.65,0,0,0,0,0,0,7.26
120,0,20.49,0,0,9.22,0,3.3,5.27,1.98,1.33,0,4.09,0,0,0,0,8.12,0,0,10.52,0,0,0,18.94,0,0,0,0,1.54,0,0
