stage,epidermis,gut,ionocyte,lateral_line,mesenchyme,mucous,periderm,taste
 24-34,0,0,2.37,0,0,0,0,0
 36-46,0,0,6.54,0,0,0,0,0
 84-94,0,0,1.02,0,0.68,0,0,0
 96-106,0,0,3.12,0,0,0,5.5,0
108-118,1.42,0.91,0.44,0.43,0,1.6,1.23,1.24
120,0,0,12.13,0,0,0,1.31,0
