stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,immune,mesenchyme,mucous,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,17.5,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.54,26.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0
 10-12,0,0,0,7.48,0,0,0,0,0,0,5.09,8.67,0,3.8,0,0
 14-21,0,0,0,0,0.89,0,0,0,0,0,2.39,0,1.64,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0
 36-46,0,0,0,0,0,0.77,0,0,0,0,9.52,0,0,0,2.07,0
 48-58,0,0,0,0,0,0.46,0,0,0,0,0.91,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.52,4.25,0,0,0,4.77,0.63
 84-94,0,0,0.84,0,0,0,0,0,0,0,3.75,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,3.21,0.49,0,0,2.19,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,26.63,0,0,0,0,0
