stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.02,0,0,11.63,0,0,0,0,0,0
 14-21,0,7.04,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,14.26,114.05,0,0,0
 24-34,0,1.24,0,0,12.12,0,0,0,0,0,0,0,0,0,2.69,0,0,0.77,4.07,1.49,0,14.48,34.92,25.31,0.95,0,0
 36-46,0,0,0,0,38.56,0,0,0,0,0,0,0,0.57,0,2.37,0,0.77,8.26,10.92,0,0,58.59,90.62,2.2,5.58,0,0
 48-58,0,0.88,0,0,15.74,0,0,0.98,1.12,0.52,0,1.06,0,0,2.91,2.74,0.84,10.87,0.48,2.12,0,191.52,13.25,0,2.42,0,2.07
 60-70,0,0.77,0,0,16.41,3.02,0,0,0,0,0,1.95,0.73,0,0.81,1.33,0.82,5.85,4.32,0,0,450.72,7.39,0.98,1.25,0,9.43
 72-82,0,5.29,1.05,0,12.97,8.62,0,0,0,0,3.79,2.67,0,0,3.62,1.24,0,17.48,0.54,0,0,421.48,4.36,1.06,0,0,0
 84-94,0,21.4,11.63,0,13.88,6.19,0,0,0,0,0,14.02,0,4.41,1.91,9.27,0,3.46,21.47,1.3,0,1447.49,22.47,0,4.53,0,0
 96-106,0,37.35,1.39,0,25.18,14.24,1.74,0.81,0,0,0.79,19.32,0,0,13.68,17.36,0,36.24,12.53,2.15,0,1412.93,3.74,2.68,0,0,0
108-118,0,29.53,0,1.51,21.95,23.21,0.91,0.55,0,0,0,25.35,0,0,6.78,20.96,4.25,23.74,16.57,2.64,0,942.88,1.19,2.81,5.15,0.57,0
120,0,38.01,5.63,0,34.6,11.94,0,0,0,0,0,17.45,0,0,15.67,12.16,0,28.82,3.5,0,0,887.54,2.96,0,0,5.66,0
