stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,114.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,120.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.3,0,0,0,0,0,10.74,0,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,53.67,0,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.99,0,0,0,5.15,0,0,8.56,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,6.92,101.42,14.87,0,16.77,0,0,0,6.93,4.03,3.14,0,0,4.98,0,0,0,0,26.91,0,0,16.75,185.16,11.31,2.55,7.49,11.28,15.8,58.61,8.86,1.23,72.14,62.88,0,0,0,0,0
 24-34,0,0,0,1.21,21.74,1.6,0,21.09,0,1.48,0,4.34,0,0,0.92,0,3.04,0,0.86,1.55,0,33.7,0,0,6.25,147.94,1.36,12,5.14,0,30.48,0,0,0,5.65,27.77,0,0,8.11,0,0
 36-46,0,0,0,0,27.6,3.51,0,42.34,0,1.86,1.39,7.04,3.46,0,0,0,0.58,0,0,0.59,0,22.44,0,2.49,9.08,134.11,0,2.67,3.59,0,35.37,0,0,0,0,25.87,0,0,9.83,0,0
 48-58,0,0,0,0.43,10.94,0,0,21.87,1.11,3.24,0.37,3.77,0.39,0,1.33,0,3.14,0.41,1.59,0.69,0.59,12.01,0,0.63,0,70.87,0,1.04,5.4,0,31,0,0,0,0,8.6,0,0,2.57,0,0
 60-70,0,0,0,0,13.66,0,0,56.76,0,0.99,9.96,10.59,5.32,0,0,0.65,5.75,1.52,0,0,0,13.99,0,6.12,0.67,60.14,0,5.81,6.76,0,25.49,0,0,0,0,7.99,4.31,1.03,2.16,0,0.96
 72-82,0,0,1.09,0,22.23,1.11,1.8,24.43,0.82,0,2.29,13.83,2.32,0,0,0.63,0.5,0,0.63,7.76,1.31,18.15,0.67,0,1.75,50.41,1,6.63,7.51,0,20.48,0,0,0,0,0,3.77,0,7.52,0.73,2.99
 84-94,0,0,0,1.04,16.94,2.13,0.59,8.42,1.66,1.96,0,8.28,2.96,0,0,1.4,6.32,6.53,0,0,0,20.22,0,3,0.95,38.32,0,5.32,6.28,0,47.7,0,0,0,0,2.41,0.55,0,1.7,0,0
 96-106,0,0,1.23,0,18.24,9.98,0,9.81,0,4.76,0,4.39,4.05,0,0,1.05,2.97,0.75,3.95,0,0,20.18,4.02,0,0,59.34,0,6.47,5.29,0,54.57,0,0,4.52,0,0,2.14,0,12.32,0,0
108-118,0,0,0,0,23.72,0,0.88,34.42,0,0.43,0,18.36,2.94,0,0,1.83,1.28,0.44,7.42,0.48,0.52,23.3,1.43,1.35,2.65,36.53,2.41,9.3,4.08,0,40.77,0,0,0,0,0.72,0.69,0,3.53,0,0
120,0,0,0,0,67.25,0,1.09,9.73,0,4.84,0,3.02,10,0,0,1.5,5.59,0,2.74,0,0,5.08,0,0,0,12.7,0,17.81,1.29,0,31.78,0,0,0,0,0,0,0,0,0,0
