stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,119.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.39,292.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.82,0,12.65,0,0,0,35.11,0,0,0,0,23.65,0,0,0,0,0,0,0,0,0,0,275.56,8.66,0,0,76.24,0,0,0,0,0,0,0,0
 10-12,0,5.59,5.83,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0,0,0,0,205.26,27.58,0,0,62.01,0,0,20.49,0,0,0,0,0
 14-21,0,0,0.83,10.41,0,0,2.1,0,0,0,0,3.26,0,0,50.31,0,0.97,0,7.97,2.78,0,0.9,18.27,2.75,0,3.31,1.8,2.98,7.97,0.9,3.55,11.52,0,0,0
 24-34,0,0,0,0.64,0.83,0,3.65,0,0,1,0,0,0,0,44.51,0,0,0,5.62,0.69,0,0,19.4,0.6,0,0.67,0,2.22,0,0,2.19,10.36,5.18,0,0
 36-46,0,0,0,1.26,0,0,5.93,0.73,0,0.76,0,0,0,0,40.02,0,0,0,3.59,5.15,0,0.92,33.14,0,3.07,0.8,0,0.71,0,0,0,3.69,1.49,0,0
 48-58,0,0,0,3.03,0,0,4.36,0,0,0.72,0,0,0.48,1.53,13.85,0,0,0,1.47,3.16,0.44,6.82,32.3,0,0,0,0,0,0,0,0,0.6,0,0,1.61
 60-70,0,0,0,2.36,0,0,13,1.07,1.14,0.96,0,0,0,0,7.02,0,0,0,2.2,0,0,0,30.22,0,0,0,0,3.65,0,0,0,2.43,0,0,0
 72-82,0,0,0,0,0.92,0,11.51,4.16,1.81,2.75,0,0,0,0,12.87,0,0,0,7.4,0,0,0,13.69,0,0,0,0,0.7,0,1.03,0,1.58,1.27,0,1.88
 84-94,0,0,0,2,3.47,0,0.93,0,1.15,2.97,0,0,0,3.83,29.52,1.05,0,0.58,5.14,0,0,0,16.75,0,0,0,0,2.55,0,0.56,0,1.97,0.77,0.68,0
 96-106,0,0,0,4.04,8.75,0,0.97,0,0,0,0,0,0,1.22,19.03,0,0.63,0,3.28,0.78,0,0,21.49,0.58,2.47,0,0,2.9,0,0,0,0,2.45,0,0
108-118,0,0,0,0.49,1.33,0.62,4.02,0,0.5,2.48,0,0,0,0,25.7,0,0,0,3.35,0,0,0,13.46,0,0,0.44,0,2.72,0,0,0,0,0,1.61,0
120,0,0,0,0,15.08,1.61,22.22,0,0,0,1.23,0,0,4.63,19.19,0,0,0,10.67,0,0,4.3,10.01,0,0,0,0,5.98,0,0,0,0,1.84,1.05,0
