stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,232.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0,0
  5-6,0,149.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.32,0,0,0,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0,0,0,0,32.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.94,0,28.96,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,34.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,5.75,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0,2.35,0,0,2.07,25.42,0.9,5.05,0,0.87,0,5.77,10.34,0,4.22,69.28,0,0,0,0,0
 24-34,0,0,0.67,0.59,1.32,0,2.78,0,0,0.68,22.29,0,0.74,0,0,0,0,0,0,0,2.29,0,0,2.09,151.5,2.3,16.51,1.9,0,0,8.27,8.6,2.19,0,101.3,0,0,0,0,0
 36-46,0,0,2.29,0,0.58,0,53.13,0,8.76,3.55,17.17,0,0,0,0,0,0,0,0,0,9.38,0,0,6.34,284.62,0,13.74,6.73,0,0,26.34,5.02,0,0,127.92,0,0,0,0,0
 48-58,0,0,1.38,0,0.84,0,254.79,1.55,0,0,27.25,0.51,0.54,0,0,0,0,0,0,0,9.52,0,0,4.55,349.23,0,10.23,6.14,0,0.64,8.54,1.81,0,0,135.03,0,0,0,0,0
 60-70,0,0,0,0,0,0,404.19,0,0,0,23.58,0,0,0,1.29,0,1.91,1.83,0,5.78,4.61,0,0,4.27,396.56,1.36,8.91,1.99,0,0,5.7,0,0,0,100.62,0,0,1.02,0,0
 72-82,0,0,3.2,0,2.03,1.16,389.74,1.29,0,0,37.38,0,0,0,0,0,0,0,0,0.49,7.14,1.8,0,0,406.3,0,6.65,13.93,0,0,6.99,1.67,0,0,57.05,0,1.42,0,2.52,0
 84-94,0,0,3.25,0,1.52,0,316.15,0,0,0,19.22,3.94,0,0,0,0,0,1.05,0,0,21.16,0,1.93,10.12,287.29,1.25,10.68,9.49,0,0,21.82,4.79,0,0,49.92,0,1.08,1.55,6.06,0
 96-106,0,0,3.03,1.07,4.26,0,377.18,0,0,0,22.81,2.56,0,0,0,0,0,8.92,0,0,6.66,0,0,0,175.05,0,20.12,10.31,0,0,11.79,0.73,0,0,18.17,2.04,1.15,0.75,1.35,0
108-118,0,0,0.79,0,3.16,0,431.49,0.54,0,0,14.12,0.95,0,1.65,0,0,0,2.2,0.48,0,9.39,0,3.83,0,246.3,0,10.68,6.54,0,0,9.96,0,0,0,16.22,0.91,0,2.83,0,5.97
120,0,0,0,0,2.77,0,397.07,0,0,0,27.22,0,0,0,0,2.42,0,1.77,0,0,6.97,0,0,1.09,508.47,1.81,8.89,8.18,0,0,5.64,3.15,0,0,22.1,0,0,0,0,0
