stage,blastomeres,endoderm,epidermis,erythrocytes,eye,lateral_line,mesenchyme,neural,periderm,spinal_cord
  3-4,56.48,0,0,0,0,0,0,0,12.17,0
  5-6,39.82,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.18,0,0,17.29,0,0
 10-12,0,3.24,0,0,0,0,0,0,0,0
 14-21,0,0,2.1,0,0,0,0,2.01,0,2.49
 24-34,0,0,0,0,0,0,0,6.14,0,1.6
 36-46,0,0,0,0,0,0,0.89,3.65,0,2.56
 48-58,0,0,0,0,0.5,0,0,2.21,0,7.14
 60-70,0,0,0,0,4.18,0,0.67,3.14,0,0
 72-82,0,0,0,0.79,3.11,1.35,1.23,2.5,0,0
 84-94,0,0,0,0,5.51,0,0.71,0.66,0,0
 96-106,0,0,0,0,0,0,0,3.89,0,0
108-118,0,0,0,0,3.74,0,0,8.65,0,0
