stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,17.43,0,0,0,0,0,0,0,0,0,0
 14-21,6.15,5.63,0,0,0,0,0,0,0,0,7.26,0,0,10.37,0,5.95,0,0,3.37,0,6.53,0.81,0,0.96,0,0
 24-34,0,0.6,0.71,0,0,0,0.71,0,0,0,7.7,0,0,4.28,3.74,0,0,0,0,0,0,1.78,0,2.49,0,0
 36-46,0,0.6,0,0,4.4,0,0,0,0,0,26.7,0,1.22,4.98,13.05,0,0,0,0,0,0,0,0,3.11,0,0
 48-58,0,2.2,6.77,0,0.42,0,0,0,0,0,23.87,0,3.7,4.79,10,2.02,0.38,0,0,0,0,2.7,0,0.43,0,0
 60-70,0.58,0,29.29,0,0,3.47,0,0,0,0,36.97,0,1.44,2.34,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.7,20.89,0,0,3.32,0,0,1.33,0,40.82,0,14.21,3.06,5.57,0,0,1.4,0,0,0,0,0.85,2.78,0.54,0
 84-94,0,1.15,19.2,0,0,2.88,0,3.69,0,1.91,31.13,2.13,7.75,1.19,5.1,0,0,0,0,0,0,0,0,1.18,2.24,0
 96-106,0,0,20.97,0,2.25,2.94,0.57,5.11,0,0,51.63,0,21.88,2.51,3.48,0,0,2.88,0,3.26,0,0,0,2.88,8.59,1.91
108-118,0,0.48,9.76,0.48,0,5.68,0,0,0,0,48.05,0,22.03,2.13,19.04,0,0,6.2,0,0,0,1.94,0,11.2,4.84,1.42
120,4.6,4.98,4.76,0,0,4.66,0,0,0,0,80.8,0,20.8,0,26.05,0,0,2.67,0,0,0,0,0,2.48,5.18,0
