stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pgc,spinal_cord,vasculature
 14-21,0,0.95,0.82,0,0,0,0,0,0,0,0,0,0.83,0.99,0.95,0,0,0,1.74,0
 24-34,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.65,7.93,0,0,0,0,1.95,0
 36-46,0.6,0,0,0,0,0,0,0,0,0,0.91,0,0,10.69,0,0,8.02,0,2.74,0
 48-58,0,0,7.53,0,0.47,0,0,0,0,0,3.38,0,0.39,13.34,0,0,0,0,3.23,0
 60-70,0,0,1.97,0,0,0,0,0,0,0,1.35,8.1,0,7.4,0,0,0,0,1.9,0
 72-82,0,0,21.47,0,0.79,1,0,0,0,0,8.76,0,0.6,14.15,0,2.28,0,0,3.48,0
 84-94,0,0,11.76,0,0.84,7.77,0,0,0,1.05,1.87,0,0,3.53,0,0,0,0,6.17,0
 96-106,0.91,0,15.72,0.57,0,2.27,0.95,0,0.9,0,1.34,0,0,8.23,0,0,0,1.35,0,5.99
108-118,0,0,7.46,0.55,0,8.44,0.56,0.56,0,0,7.94,0.69,1.15,9.77,0,0,0,0,0.69,0.45
120,1.71,0,2.59,0,0,13.21,0,0,0,0,8.92,0,0,7.48,0,3.28,0,0,0,0
