stage,eye,glial,liver,mesenchyme,neural
 24-34,5.38,0,0,0,0
 36-46,14,0,0,0,0
 48-58,3.64,0,0,0,0.91
 60-70,29.85,7.98,0,0,0
 72-82,144.47,0,0,0,1.86
 84-94,224.79,0,0,5.19,0
 96-106,165.76,0,0,0,3.49
108-118,168.42,0,1.95,0,0
120,191.39,0,0,4.36,18.48
