stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.57,4.32,0,0,50.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,19.47,0,0,0,0,16.32,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,2527.77,10.25,0,0,100.99,0,0,4.36,18.6,0,0,0,0,0,0,0
 14-21,0,0,6.42,29.91,0,15.04,0,0,0,41.22,0,0,0,2.23,0,0,0,0,0,0,0,0.97,958.35,0,16.33,7.05,0.86,0,0,3.24,0,3.63,0,734.71,0,0,0,0
 24-34,0,0.96,0.61,18.99,0.66,186.48,0,0.62,0.8,12.73,0,0,0,0,1.01,0,0.95,0,10.82,0,0,4.02,8283.07,1.49,26.99,8.67,0,0,4.61,0,0.73,0,0.66,1602.65,0,0,1.48,0
 36-46,0,0,0,28.5,0,601.55,0,0,0.78,26.51,0,0,0,1.86,0,0,1.2,0,20.8,0,1.66,2.89,8193.36,5.37,19.21,9.75,0,0,73.32,0,2.8,0,0,2366.45,0,0,4.84,3.27
 48-58,0,0,0,12.51,0,1259.52,0.69,0,0.4,162.86,1.42,0,6.28,7.95,0.48,0,3.41,0,37.67,0,5.88,13.43,6082.12,1.25,6.43,4.56,0,0,12.82,0,0,0,0,1993.6,0,0.89,0,2.95
 60-70,0,0,0,17.51,3.24,690.03,0,3.17,0.87,54.8,0,0,0,1.42,0,9.66,5.77,0,10.81,1.76,0,4.9,1814.49,0,0,1.87,0,0.63,0.96,0,2.06,0,0,396.23,0,0,0,0
 72-82,0,0,0,4.39,0,366.42,0,0,1.29,36.66,0,0,1.75,4.46,0,0,1.63,0,17.96,0,0,4.32,1348.87,0,3.6,3.44,0,1.4,0,0,0,0,0,214.45,0,0,0,0
 84-94,0,0,0,4.81,0,189.5,0,0,0,33.15,0,0,0,0.91,1.39,0,1.94,0,1.68,2.84,0,0,637.34,0,2.16,3.45,0,0,0.96,0,0,0,0,111.22,0.66,0,2.92,0
 96-106,0,0,0,1.3,14.27,112.03,0.64,0,0,30.62,1.61,0,2.01,0,0.81,0,2.25,0,8.24,0,0,4.14,339.31,0,0,2.3,0,3.21,1.24,0,0,0,0,4.52,0,0,1.31,0
108-118,0,0,0,9.71,0,126.01,0,0,0,11.65,0.62,0,0,0,1.61,0,1.17,0,11.18,0,0,0,410.4,0,2.48,3.63,0,0,0,0,0,0,0,18.31,0.52,0,0.49,0
120,0,0,0,26.26,0,217.64,2.98,4.76,0,37.86,0,0,0,6.46,0,0,0,9.22,26.37,0,2.76,7.89,1026.46,0,10.37,9.58,0,0,0,0,0,0,0,53.96,0,0,15.8,0
