stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,76.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.65,138.35,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.46,7.54,0,22.12,0,0,0,20.44,0,0,0,0,5.77,0,0,0,0,0,0,0,0,318.02,7.22,0,0,82.04,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,23.8,0,12.38,0,0,0,95.83,0,0,0,0,6.38,0,0,0,0,0,0,0,0,176.69,21.21,0,0,82.38,0,0,0,0,15.31,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,5.83,0,0,4.22,0,0,0,0,0,0.93,0,0,0,2.94,0,4.11,5.73,70.73,0,0.85,0.87,1.7,0,0,0,3.24,1.73,0,5.46,21.1,0,0.91,0,0
 24-34,0,0,0,0,1.31,0,0,2.38,0.62,0,0.6,0,0,0,18.83,0,0,0,0,2.28,0.66,81.14,0,0,0,0,0,6.79,0,0,1,0.95,0.64,12.4,0,0.71,0,0
 36-46,0,0,0,0,2.41,0,0,6.32,0,0,0.59,0,0,0,30.34,0,0,0,31.37,6.3,1.46,61.95,0,0,0,0,0,5.65,0,0,0.75,0,0,10.39,0,3.75,0,0
 48-58,0,0,0,0,7.87,0,0,12.19,0,0.44,13.6,0.39,0,0,64.92,0,3.92,1.64,27.88,3.83,0,116.77,0,0.9,0.44,0,0,0,0,0,0,0,0,22.78,0,1.19,0,5.52
 60-70,0,0,0,0,8.5,0,0,50.23,0,0,13.16,0,0,0,53.43,0.59,0,0,32.19,7.55,0.6,102.01,0,0,0,0,0,0.68,0,0,2.51,0,0,15.34,0,0,0,13.57
 72-82,0,0,0,0,2.14,6.97,0,36.21,0.73,1.16,14.84,0.88,0,0,48.5,0,0,0,10.94,16.71,1.85,83.8,0,2.66,0,0,0,5.36,0,0,0,0,0,13.57,0,2.54,0.91,41.49
 84-94,0,0,0,0,3.61,20.78,0,9.74,0,0,10.96,1.43,0,0,64.87,0,0.64,0.57,42.57,15.71,0.96,94.74,0,0,0.71,0,0,4.48,0,0,0,0,0,0,1.7,0,0,16.94
 96-106,0,0,2.46,0,11.17,0.98,0,28.74,0,0,20.62,1.39,0,0,54.74,0.95,0,4.62,8.46,12.86,0,88.2,0,0.58,0,0,0,7.83,0,0,0,0,0,0,0.77,0,0,10.41
108-118,0,0,0,0.74,3.83,2.31,1.08,18.47,0.85,0,11.4,2.32,0,0,53.98,0,4.15,2.29,35.36,4.52,0,104.8,0,1.47,2.78,0,1.14,4.89,0,0,0,0,0,1.72,0,4.71,4.17,29.95
120,0,0,0,0,5.95,0,0,17.03,0,0,44.41,1.02,0,0,94.11,0,0,0,6.65,8.84,17.02,186.09,0,0,0,0,12.53,4.35,0,0,0,0,0,17.67,0,15.16,0,18.63
