stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.94,8.77,268.58,64.06,0,70.53,0,5.31,0,22.67,9.98,1.41,2.66,2.35,15.78,0,0,59,11.52,110.39,2.21,0,81.42,750.83,82.77,9.23,26.36,20.06,0,134.37,1.38,99.93,23.49,8.92,127.14,269.14,0,0,14.23,0,1.76
 24-34,0,1.35,6.19,126.77,8.3,0,172.54,1.49,10.39,5.2,49.66,8.72,1.83,36.18,6.27,60.49,3.35,3.68,40.08,59.7,235.74,12.3,5.66,108.09,2163.65,35.33,53.07,33.44,0,2.91,291.31,0,0,16.37,7.95,36.41,565.67,0,0,151.52,0,10.79
 36-46,0,2.68,0,97.55,4.65,0,315.4,7.82,10.27,5.4,110.87,2.19,0.59,10.69,6.17,31.14,1.6,4.56,19.84,135.26,285.33,9.6,10.28,87.08,2624.76,53.22,44.37,8.09,0,2.1,273.13,0.81,0,12.66,12.56,0.66,583.83,0,7.07,117.47,0,71.19
 48-58,0,2.35,0,99.18,8.11,0,909.3,18.52,30.62,10.3,218.98,5.86,4.78,9.2,14.9,15.65,7.7,3.92,27.56,160.82,365.43,14.02,16.61,53.26,2792.43,42.6,31.86,31.98,0,0.45,189.29,0,0,10.69,8.02,0,534.87,0,6.88,63.04,0,116.89
 60-70,0,0,0,102.68,5.8,0,1988.6,12.81,31.05,16.33,336.83,19.27,0.66,16.82,7.76,12.36,16.86,7.76,19.85,73.89,439.98,7.65,43.56,59.72,2712.49,39.42,31.74,15.77,0,21.22,201.89,0,0,12.83,9.1,0,450.5,6.3,12.83,67.73,9.27,99.51
 72-82,0,4.86,3.87,66.02,35.63,1.18,2241.36,1.71,25.88,29.03,295.08,39.16,0.52,11.63,18.31,7.46,25.63,13.38,34.88,98.07,612.76,11.36,55.69,59.31,2607.42,9.24,30.4,49.63,0,26.51,113.29,0,0,19.79,4.39,0,303.53,6.56,35.58,153.17,40.55,107.11
 84-94,0,16.81,0.74,146.79,45.29,0.72,1674.15,4.73,35.93,9.67,252.8,66,0.66,11.16,33.33,29.26,26.81,3.02,156,145.45,501.56,20.29,66.78,40.89,1854.63,7.04,53.49,33.72,0,6.65,314.34,0,0,26.99,5.85,0,147.29,14.2,24.32,147.16,48.44,54.98
 96-106,0,10.2,1.03,149.1,140.88,2.62,1882.46,21.07,31.82,12.39,291.46,70.53,1.06,14.12,28.32,30.27,16.34,12.6,201.53,92.14,424.99,19.12,57.04,37.68,1650.61,13.04,43.75,55.32,0,39.93,303.9,4.08,0,16.83,6.01,0,110.72,14.71,25.46,120.31,52.65,77.1
108-118,3.02,19.38,0.74,139.46,43.78,7,1960.96,14.85,47.55,19.88,358.53,72.98,2.74,8.64,43.66,32.85,41.89,10.03,363.35,125.06,510.78,15.38,43,40.24,2161.62,32.81,23.42,52.98,0,46.33,208.4,0,0,18.85,7.06,0,73.87,23.49,14.17,127.22,44.02,47.11
120,0,14.34,0,216.69,17.02,3.68,1558.25,8.74,43.66,12.26,455.09,65.12,0,18.47,56.16,39.71,21.8,13.33,221.07,53.46,629.91,6.68,90.99,36.24,3741.53,27.91,38.54,64.42,0,86.02,148.42,1.53,0,26.87,4.76,0,103.58,8.04,29.8,273.16,50.56,11.47
