stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.11,10.76,0,0,7.98,0,0,0,0,0
 24-34,1.97,0,2.58,0,0,1.23,0,0,1.74,0,0,0,0,87.29,0.98,0,27.95,0,0,0,0,0
 36-46,0,0,2.37,0,0,0,1.98,0,0,0,0,0,0,234.14,2.28,0,28.49,0,0,0,0,0
 48-58,0,0,21.73,0,0,0,0,0,0,0,0.79,0,0,424.85,6.71,0,52.04,0,0,0,0,2.3
 60-70,0,0,122.3,0,3.13,0.81,3.22,0,0,0,5.77,1.2,0,571.93,1.74,0,64.56,0,0,0,0,0
 72-82,2.72,0,166.3,0,0,0,7.92,0,0,0,0.78,0,0,571.45,0,0,48.79,0,0,0,0.77,0
 84-94,1.18,1.02,167.93,0,0,0,7.4,0,1.56,0,6.92,0,4.74,465.6,7.12,5.69,40.52,0,0,3,0,0
 96-106,0,4.56,99.99,0,0,0,2.89,0,0,0,3.41,0,0,282.49,7.5,2.53,24.47,0.61,0,0,0,0
108-118,0.99,0,88.55,0.56,0,0,8.67,0.8,0,0.72,2.06,0,0,414.34,9.64,0,16.5,2.83,1.17,0.84,0,0
120,0,0,85.43,0,0,0,16.6,0,0,0,18.02,0,0,478.1,15.92,8.23,0,0,0,0,0,13.4
