stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.04,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.67,0,0,0,4.19,0,0,0,0,0,0,0,0,0
 14-21,0,0,181.39,1.35,129.64,0,0,0,10.66,0,0,0,0.81,0,0,0,0,0,0,0,4.34,2972.67,0,241.04,1.67,0,0,1.49,0,0,6.16,44.62,0,0,0
 24-34,0,0,28.99,1.87,49.91,0,2.55,0,35.45,0,1.82,0,2.26,0,0,0,0,2.78,3.32,0,0,2785.96,0.6,233.74,0,0,1.32,0,0,0,0,36.93,0,1.46,0
 36-46,0,0,20.83,0,385.96,0,0,0,110.84,0,0,1.46,0,0,0,0,0,16.49,0,0,0,2260.77,1.69,104.59,0,0,2.73,0,0,2.13,0,18.17,0,0,0
 48-58,0,0,7.84,0,1166.76,0.61,5.79,0.73,98.48,0,0,0,0,0,0,0.39,4.19,17.15,0,0.75,1.57,1610.43,0,41.41,0,0,0.82,0,1.31,0.38,0,34.16,0,3.85,0
 60-70,0,0,0.89,0,828.12,6.2,0,0,54.33,0.63,0,0,2.9,0,0,0,0,14.59,0.61,2.87,0,699.77,0,25.65,0,0,0,0,0,0,0,6.5,0,0,2.76
 72-82,0.56,0,3.32,0,980.32,0,0,0.71,75.72,0,0,0,0,0,0,0,0,13.2,0,1.32,2.66,817.48,0,42.39,0,0,0.55,0,0,0,0,6.78,2.31,0.5,0
 84-94,0,0,9.5,0,618.28,0,1.99,2.08,54.2,0.8,0,0,11.03,0.7,0,0,0,9.7,0,0.92,0,467.57,0,33.56,0,0,2.11,0,0,0,0,11.97,0,0,0.63
 96-106,0,0,16.18,2.54,587.39,1.33,1.16,0,69.69,0,0,0.68,12.46,0,0.6,0,0,6.41,0,0,0,434.9,0,71.03,0,0,0.68,0,1.38,0,0,0,0,0,0.59
108-118,0,0,6.44,3.25,523.35,0,0,0,82.14,0,0,0.53,8.06,0,0,0,0,14.65,2.44,0,0,570.19,0,71.32,0,0,0.58,0,0,0,0,0,0,1.02,1.13
120,0,0,4.92,1.14,323.54,0,0,0,138.96,0,0,0,3.26,5.27,0,0,0,7.53,0,0,4.81,591.56,0,14.59,4.29,0,0,0,0,0,0,8.39,0,0,0
