stage,blastomeres,epidermis,exocrine_pancreas,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,48.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.29,0,0,5.87,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.15,0.89,0,0,0.84,0.84,0,1.45
 24-34,0,1.17,0,2.34,0,0,0,0,6.48,0,0.97,0,0,3.56,0,0
 36-46,0,0,0,1.22,0,0,0,0,36.91,0,0.73,0,0,8.72,0,0
 48-58,0,0,0,6.06,2.74,0,0.39,0,94.02,0,0,0,0,5.61,0,0
 60-70,0,0,0,14.77,0.62,0,0,0.6,33.09,0,1.02,0,0,1.22,0,0
 72-82,0,1.12,0,7.34,1.12,0,0,0,23.49,0,0,0,0,5.64,0,0
 84-94,0,0,0,3.28,0,0,0,0,20.73,0,0,0,0,0,1.28,0
 96-106,0,0,0,2.79,0,0,0,0.63,12.6,0,0,0,0,0,0,1.86
108-118,0,1.71,0.66,3.87,0,0,0.61,0,12.58,0,0,0,0,0,0,0
120,0,0,0,6.95,0,5.72,0,0,8.33,0,6.24,0,0,0,0,0
