stage,axial,blastomeres,endoderm,epidermis,eye,gut,immune,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,62.79,1123.03,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0
  5-6,34.01,270.09,0,0,0,0,0,0,0,13.76,0,0,17.32,0,0,0,0,0
  7-9,0,0,0,0,4.88,0,0,0,0,67.72,0,19.88,0,0,0,0,0,0
 10-12,0,0,8.14,0,0,0,0,0,0,22.88,0,3.34,0,3.24,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,1.42,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,6.32
 72-82,0,0,0,0,0,0,1.71,1.93,0,3.68,0,0,0.53,0,0,0,0,0
 84-94,0,0,0,4.46,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.62,1.58,0,3.25,0.56,0,2.78,0,0,0,1.21,0
108-118,0,0,0,0,1.59,1.03,4.59,0,0.74,2.01,0,0,4.19,0,0,1.1,1.25,0
120,0,0,0,0,0,0,6.04,0,0,1.33,0,0,5.04,0,0,0,1.54,0
