stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.22,8.4,0,0,13.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.76,19.97,0,0,4.96,0,0,0,6.16,0,1.19,1.5,0,0,0,0,0,0,9.04,0,0,7.88,483.77,7.58,2.34,0,0,0,2.85,3.02,0.84,2.2,5.79,7.88,141.45,0,0,2.47,0,0
 24-34,0,0.7,26.74,0,0,32.04,2.18,5.43,0.71,12.52,1.49,1.89,5.49,0,2.85,0,4.58,1.96,12.15,32.59,0,0,34.33,2478.45,14.44,28.69,0.71,0,0,23.36,0,0,6.89,4.46,8.52,519.79,0,0,43.46,0,11.35
 36-46,0,0,27.89,0,0,75.36,7.42,10.9,0.87,75.57,0.56,0,6.18,0,20.65,1.95,1.84,0,47.48,39.52,1.5,0,18.71,3330.24,6.64,31.37,0.57,0,0,42.45,0,0,4.13,13.4,0.83,889.99,0,0,45.06,0,45.95
 48-58,0,0,22.3,0,0,402.73,8.78,20.2,1.04,188.62,2.41,0,9.89,4.95,5.39,0,5.95,0,45.06,64.01,6.77,9.83,15.87,3537.29,11.8,14.25,3.35,0,0,43.81,0,0,10.49,8.59,0,708.6,0,1.35,33.1,0,30.16
 60-70,0,0,37.47,0,0,1205.17,10.58,24.83,0,159.91,4.18,0,9.51,0,24.07,9.42,10.18,0.72,40.32,108.19,3.25,6.27,12.56,3112.77,14.14,7.11,1.4,0.81,0,49.89,0,0,8.05,5.84,0,462.29,0,6.65,15.57,1.79,77.1
 72-82,1.94,0,25.87,10.21,0,1154.71,16.28,14.11,3.77,175.65,11.83,0,5.07,0,21.01,13.37,2.34,4.42,9.39,170.72,0.92,33.18,10.92,2222.8,3.07,15.69,4.01,0,5.55,24.38,0,0,7.26,6.9,0,318.16,12.88,2.68,46.07,1.45,54.33
 84-94,3.91,0,46.04,6.39,0.59,744.39,13.59,14.72,4.53,149.85,21.69,1.99,8.35,3.77,31.14,9.02,6.56,3.81,41.54,159.27,3.02,28.76,9.78,1665.02,9.41,25.17,13.45,0,0,52.46,0,0,17.68,12.61,0,213.14,33.23,4.15,43.46,2.82,53.25
 96-106,2.27,0,40.43,18.32,0,786.07,6.08,25.39,1.02,188.69,32.44,0,9.57,4.08,40.15,12.85,8.85,6.09,21.6,142.71,1.89,19.08,25.49,1223.83,3.44,42.84,7.81,0,7.09,40.93,0,0,10.77,5.27,0,52.98,63.23,7.54,44.17,9.45,58.41
108-118,4.5,2.69,82.57,6.94,2.83,660.13,8.85,32.02,7.74,179.6,43.02,0,1.42,8.19,42.07,17.17,7.54,1.48,35.1,167.23,2.04,19.26,24.04,1451.32,9.34,26.37,5.22,0,15.42,38.23,0,0,23.01,4.43,0,49.81,85.64,13.58,62.06,8.37,35.45
120,0,0,116.13,0,0,792.96,8.54,50.8,5.58,275.32,37.27,0,4.06,2.36,38.43,71.44,0,4.92,19.46,145.88,5.1,10.32,25.34,2418.3,20.08,17.98,3.1,0,0,39.94,0,0,24.57,0,0,109.07,39.71,27.74,71.86,27.86,4.96
