stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.43,4.83,0,0,0,0,0,0,0,0,0,0,0,185.89,0,7.43,0,0,0,0,0,0,0,0
 10-12,0,29.42,0,0,5.32,0,0,0,0,0,0,0,0,0,374.57,0,42.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.06,0,0,2.52,0,0,0,9.51,0,4.21,292.37,0,0.82,0,0,6.42,2.2,17.3,0,0,0
 24-34,0,0,0,2.69,0,9.33,0,38.52,0,0,0,76.28,0,7.9,1307.82,0,0,0,0,0,1.32,157.7,1.22,0,0
 36-46,0,0,0,5.1,0,7.03,0,62.06,0,3.64,0,62.67,0.92,2.07,1025.83,0,0,0,0,0,0,113.04,0,0,2.23
 48-58,0,0,0,8.96,0,23.73,0,106.95,0,0,0.51,57.83,0,0.59,774.88,0,0,0,0.65,0,0,34.38,2.09,0,0
 60-70,0,0,0,1.27,0,24.88,0,81.69,0,0,0,32.49,2.56,0,493.46,0,0,0,0,0,0,20.66,0,0,10.74
 72-82,0,0,0,2.02,0,37.47,0,123.34,0,0,0,20.5,0,2.55,450.2,0.79,0,0,0,0,0,3.86,0,0,0
 84-94,0,0,0,7.95,0,52.9,0,77.9,0.91,0,0,35.51,0,0.76,295.39,0,0,5,0,0,0,7.59,0,0.63,0
 96-106,0,0,0,1.82,0,22.18,1.65,83.08,0,0,0,29.56,0,4.96,231.12,0,0,0.81,0,0,0,0,2.76,0,0
108-118,0,0,0,7.92,0,43.75,0,106.64,0,0,0,32.06,0.69,0.66,387.48,0.86,0,0,0,0,0,3.87,0,1.58,0
120,0,0,0,20.06,0,41.64,0,165.7,0,0,0,60.79,0,0,472.08,0,0,1.21,0,0,0,0,0,0,0
