stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,heart,mesenchyme,muscle,neural,olfactory,spinal_cord
  7-9,0,0,0,0,0,0,0,0,4.81,0,0
 10-12,0,0,7.08,0,0,0,0,0,8.06,0,0
 14-21,0,0,0,0,0,0,0,0,9.21,0,0.86
 24-34,0.75,0,2.25,0,0,0,0,0.72,43.25,0,5.77
 36-46,0,0,4.89,0,1.54,0.57,0,0,73.3,0,10.99
 48-58,0,0.64,12.63,0,1.09,0,0,0,133.74,0,5.31
 60-70,0,0,9.07,0,0.63,0,0.79,0,252.87,0,18.23
 72-82,0.88,0,8.85,0,0,0,0.92,0,328.92,1.97,26.43
 84-94,0,0,25.45,0.63,0,0,1.29,0,173.79,4.1,1.45
 96-106,0,0,10.78,0,0,0,2.3,0,130.26,0,5.65
108-118,0,0.81,28.03,0.78,0.98,0,7.06,0,182.31,0,2.24
120,0,1.45,6.2,0,0,0,14.09,0,329.59,0,35.75
