stage,epidermis,glial,immune,neural,olfactory,periderm,vasculature
 14-21,0,0,0,0,0,3.7,0
 24-34,0,0,0,0.99,0,0,0
 36-46,0,0,0,0,0.6,5.09,0
 60-70,0,0,0,1.27,0,0,0
 72-82,0,0,0,3.38,0,0,0
 84-94,0,0,0,6.67,0,0,0
 96-106,1.44,0,0,0,0.95,5.08,0
108-118,2.31,0.72,0,1.65,1.1,6.61,0.91
120,0,0,2.66,1.36,0,5.27,0
