stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.11,0,1.57,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,10.3,3.88,118.11,0,0,0,0,3.7,22.48,2.56,43.64,1.9,0,0,2.59,0,0
 24-34,0,0.67,0,0,0,0,7.6,0,0,0,7.39,0,0,0.61,0,0,0,0,19.42,0,0,25.54,148.53,0,1.1,0,0.74,0,45.25,0,2.73,3.92,0,0,53.83,0,7.36
 36-46,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,115.29,0,0,44.8,226.04,1.2,0,0,1.87,0,27.07,0,0,1.95,0,0,257.56,0,2.53
 48-58,0,0,0,0.49,0,0,20.9,2.55,2.67,0.43,8.36,1.12,1.83,2.06,0,0,6.42,1.21,1047.12,9.52,0.4,48.88,228.46,0.48,7.94,0,1,0,20.54,1.63,0,12.53,0,0,664.2,0,3.24
 60-70,2.52,0,0,0,4.64,0,30.72,0,1.26,0.84,9.71,0,0,0,0,0,0,0,2367.24,6.42,16.46,90.6,173,0,0,6.86,2.4,0,43.01,0,0,77.35,0,0,590.27,0,0
 72-82,0,0,0,8.55,0.61,0,143.07,0,7.78,0,68.67,3.46,1.23,1.16,4.27,0.51,1.03,0.49,3899.43,9.92,2.56,145.52,99.8,0,0,2.19,4.61,0,38.23,2.14,0,15.21,0,15.19,1941.79,3.32,7.23
 84-94,0,0.94,0,9.79,3.17,0,129.18,0,0,0,19.81,2.3,0,6.64,0,0,0,0.98,4156.06,0,5.78,98.67,209.55,0,0,18.73,5.73,0,154.93,0,0,17.92,0,0,990.36,0,0
 96-106,0,2.57,0.71,20.36,23.11,0,156.17,8.48,2.37,1.25,36.67,2.75,0,8.24,0,1.17,2.32,2.58,4188.35,1.36,7.05,168.97,175.79,9.89,2.15,24.54,16.14,0,114.65,1.18,0,23.04,3.17,0,1764.95,9.8,0
108-118,1.44,0,0,6.08,1.11,1.59,103.91,1.43,0.53,7.16,49.43,9.21,0,9.31,0,0,1.61,2.69,4010.6,1.48,5.42,212.41,253.31,2.8,6.01,34.33,13.34,0,130.01,0.99,0,6.35,0,11.91,1231.04,0,1.68
120,4.73,0,0,31.44,10.47,0,97.36,0,0,11.16,46.42,3.32,0,10.9,0,0,0,0,3348.42,0,25.76,336.6,273.55,0,4.43,7.06,11.76,0,104.45,36.6,0,5.6,45.79,0,1336.67,0,0
