stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.41,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.76,4.38,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.75,0,0,0.84,0,0,0,0,0,0.98,0,1.49,17.53,0,1.55,0,0,0,0,0,14.46,9.91,0,0,2.13,0,0
 24-34,0,0,0,1.15,0,0,0,0,0,2.9,0,0,0,0,0,2.89,0,0,1.48,0,3.31,0,0,1.33,1.5,0,0,7.24,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,3.91,0,0,4.14,0,5.62,0,0,0.65,0,0,0,3.81,0,0,0,0,0
 48-58,0,0,0,1.47,0,0,26.16,3.37,0,0,0,0,0,1.17,0,1.2,0,0,11.49,0,1.37,0,0,0,0,0,0,2.4,0,0,0,0,0
 60-70,0,0,0,7.04,0,0,673.21,0,0,5.1,0,0,0,0,0,0,0,0,66.06,0,5.97,0,0,0,0,0,0,4.24,0,0,0,0,0
 72-82,0,0,0,3.72,0,0,1786.97,0,0.79,15.83,0,0.61,0,0,0,9.36,0,0.55,197.17,0,2.71,0,0,0,0,0,0,8.67,0,0.92,0,1.3,0
 84-94,0,0,0,1.07,1.13,3.04,1482.33,0,0,18.79,0,0,0,0,0,5.71,2.03,4.18,106.59,0.62,0,0,0,0.6,0,0,0,0.81,0,0,6.08,1.35,0
 96-106,0,0,1.98,2.14,0,0,1645.46,0.58,0,17.36,0.63,1.22,0.66,0,1.26,20.49,1.37,2.26,126.99,0,2.25,0,0,2.42,0,0.6,0,7.9,4.97,2.11,0.61,2.89,2.47
108-118,0,0,0,11.66,0,0,1343.87,0,5.62,8.71,0,0,0,0.43,3.24,12.49,0,0,138.92,0.54,2.97,5.59,0,0.47,0,0,0,0,0.43,0,0,0,0
120,0,0,0,2.19,0,0,1045.96,5.39,0,6.29,0,0,0,0,0,9.4,0,0,232.98,0,0,0,0,1.07,1.26,0,0,5.28,0,0,0,0,0
