stage,axial,blastomeres,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  5-6,9.5,6.66,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.23,0,0,0
 10-12,0,0,6.25,0,0,0,21.26,0,0,0,0,0,0
 14-21,0,0,0,4.6,0,0.8,0,0,6.63,0,0,2.87,2.16
 24-34,0,0,0,3.42,0,0,0,0,0,0,0,2.66,9.14
 36-46,0,0,1.63,2.37,0.57,0,4.32,0.72,0,0,0,0,5.52
 48-58,0,0,1.42,3.7,0,0,0.84,0,0,0,0.81,0.61,12.74
 60-70,0,0,2.27,15.99,0,1.45,5.02,6.22,0,0,0,0,5.41
 72-82,0,0,1.88,10.79,0,0,0,0.58,0,0,0,0.57,11.48
 84-94,0,0,0,0.56,0,0,0.88,0,4.06,0,0,0,5.64
 96-106,0,0,2.13,3.27,1.13,0,0,0.63,2.99,0,0,0,1.55
108-118,0,0,0,0,0,0,4.51,0.55,1.94,0,0,0.64,3.89
120,0,0,0,0,1.69,0,5.97,10.58,3.28,0,0,0,0
