stage,endoderm,epidermis,erythrocytes,eye,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
 14-21,1.1,5.9,1.05,0,0,0,0,3.75,1.09,1.28,0,1.89,3.6,1.67
 24-34,0,0,0,0.88,0.68,0,0,4.68,0,0,0,0,0.75,0.73
 36-46,0,0,0,0.88,0,0.94,0,1.98,0,0,0.58,0,0,0
 48-58,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0
 60-70,0,0,0,0.67,0,0.97,0,0,0,0,0,0,0,0
 72-82,0,0.7,0,0.65,0,1.93,0,2.47,0,0,0.63,0,0,0
 84-94,0,0,0,4,0,0,0,1.97,0,0,2.23,0,0,0
 96-106,0,0.61,0,0,0,0,0.58,0,1.17,0,3.8,0,0,0
108-118,0,2.76,0,0,0,8,0,1.83,0,0,6.52,0,0,0
120,0,5.74,0,0,0,0,2.96,0,0,0,3.73,0,0,0
