stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  5-6,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.87,0,4.84,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.8,0,0.81,7.14,0,1.72,0,1.03,1.06,2.19,0
 24-34,0,0,0,2.5,0,0,0,0,1.52,0,0,6.87,0,0,1.83,0,0,3.63,0
 36-46,0,1.32,6.7,0,0,0,0,0,0.67,0,0,4.21,0,0,0,0,0,0.58,0
 48-58,0,0,0,2.05,0,0,0,0,0.61,0,0,4.28,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.58,0.76,0,0.86,8.85,0,0,0,0,2.34,0
 72-82,0,0,0,0,0,0.82,0.72,0,4.02,0,0,4.23,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.47,0,0,5.12,0,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,0,0,11.09,0,0,0,3.41,0,0,0.84,0,0,0,1.48
108-118,0,4.11,0,0,2.29,0,0,0,0,0,0,8.7,0,0,0.92,0,0,1.13,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0
