stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0.61,0,0,0.84,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
 48-58,0,0,0,0,2.95,0.79,0,0,0,0,0.39,0,0,0.75,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.01,0,1.34,0,0,0,0,0,0,0,0,0,5.02
 72-82,0,0,0,3.54,0,0,0,0.54,0,8.46,3.76,0,0,6.51,0,0.64,0,0,0,15.5
 84-94,0,0,0,4.65,0,0,0,0.7,0,27.96,0,0,0,0,0.57,0,0,0,0,5.99
 96-106,0,0,0,13.31,0,0,0.83,0,2.05,207.43,7.59,3.4,0,40.39,1.67,0,0,4.61,0.69,0.91
108-118,1.81,0,1.48,3.94,0.43,5.48,0,1.88,0,566.1,3.27,0,1.47,32.57,1.06,0,0,1.07,1.46,14.38
120,3.52,2.74,0,19.31,0,0,0,0,0,463.94,0,0,0,15.5,0,0,0,0,0,1.64
