stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,4.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,24.98,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,2.14,2.12,0,0,0,0,23.64,225.69,1.32,9.4,0,0,0,0
 24-34,0,0,15.49,0,1.16,0,0.64,0,0,0,12.82,0,0,0,1.14,1.44,0,0,0,0,0.63,16.95,3.89,0,0,1.3,0,558.86,0,1.36,1.17,0,0,0
 36-46,0,0,2.25,0,0,0,0,0,0,0,20.64,0,0,0,0,11.74,0,3.16,0,0,0.92,8.73,0,0,0,0,0,379.86,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.38,0,0,1.02,16.01,0,0,0,0,14.4,0,0,0,0,0,8.26,0,0,0,0,0,159.28,0,0,0,0,0.64,0
 60-70,0,0.86,0,9.12,0.56,0,0,0,0,0,28.8,0,0,0,0,10.39,0,0.84,0,0,0,7.29,0,0,0,0,0,137.34,0,0,0,0,0,0
 72-82,0,2.29,1.09,1.25,0,0,11.42,0,0,4.88,118.02,0,0,0,0,0.76,0,3.37,0,0,0,32.59,0,0,0,0,0,234.66,0,0,0.64,0,0,0
 84-94,0,5.37,4.84,0.9,0,0,9.52,0,1.35,0,278.1,1.92,0,0,0,17.8,0,2.8,0,0,0,21.97,0,0,0,5.39,0,509.66,0,0,0,0,0,0
 96-106,0,2.84,3.23,2.39,2.06,0,46.05,0.89,0,3.95,620.26,0,1.54,1.18,0,0,0,41.05,1.23,0,0,125.63,0.56,0,2.63,6.94,0,565.6,0.6,0,0,1.9,4.6,5.14
108-118,0,1.63,7.04,5.7,0,1.83,42.84,0,3.09,6.23,1056.84,2.95,0,0,0.92,8.72,2.88,16.87,0,3.37,3.61,124.48,1.55,0,0,7.97,0,679.96,0,0,0,0.71,0.73,0.48
120,0,7.45,0,2.69,1.64,0,33.55,0,0,0,770.22,0,0,2.78,1.01,1.58,0,11.43,0,0,2.8,123.55,5.44,0,0,3.06,0,412.32,0,0,0,0,0,0
