stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0
 14-21,0.8,1.33,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,197.02,12.44,2.55,2.94,0,0,0,0,2.03,109.73,0,0,0,0,0
 24-34,1.59,0.59,4.39,0,0,14.61,0,0,0,7.15,0,0,5.64,0,0,0,0,1.14,0,10.71,0,0,0,1636.3,38.66,43.15,0,0,0,4.3,1.46,0,376.78,0,0,0,0,0
 36-46,0,0,3.63,0,0,213.15,1.69,1.22,0,14.69,0,1.26,0,4.26,0,0,0,8.48,0,6.54,0,0,0,4047.02,50.16,18.97,0,0,0,7.15,0,0,684.43,0,0,1.75,0,3.49
 48-58,0,0,21.23,0,0,577.09,0,2.89,0,58.1,0,0,0.63,0,5.07,12.08,0.44,0,1.59,14.86,1.12,0,7.02,5491.62,75.52,28.86,5.4,0,0,5.29,0,0,820.58,0,0,0.77,0,6.15
 60-70,10.41,0,4.81,0,0,1491.22,0,4.05,0.98,107.01,1.26,0,0,3.88,0,0,0,11.73,2.61,37.98,0,8.03,1.27,6297.05,58.44,26.48,1.26,0,0.63,2.33,1.18,0,766.89,0,0,1.04,0,12.37
 72-82,4.57,0,16,3.84,0,1383.22,0,2.6,4.79,94.7,3.41,0,0,5.4,0,1.2,0.64,0,5.07,58.1,0,3.98,0,4844.62,36.86,42.82,1.21,0,0,4.72,0,0,426.35,0,1.74,7.6,4.65,9.26
 84-94,4.32,0,18.81,0.6,0,892.72,0,9.13,0,113,1.36,0.6,1.27,3.19,0.69,0,0,0,5.23,73.97,4.01,1.58,4.35,3331.71,51.3,26.56,1.07,0,1.53,10.08,0,0,257.89,0,0,1.9,0,6.03
 96-106,12.17,1.03,14.89,14.45,3.52,690.24,0,2.05,0.68,69.87,1.52,0,0,1.33,0,0,0,9.82,0,45.45,3.31,1.03,1.93,2612.01,7.54,19.77,0,0,1.51,6.67,0,0,169.17,0,0,0,1.76,8.78
108-118,3.98,0.74,30.39,2.04,4.57,682.73,0,10.31,1.36,72.19,2.03,0,0,0.53,0,4.7,0,0,0,57.39,3.58,2.19,6.62,2877.43,50.96,8.67,1.86,0,0,10.14,0.81,0,101.2,3.85,0,6.33,2.58,1.25
120,4.41,0,32.5,4.74,1.89,850.07,3.7,6.9,0,211.55,1.38,0,0,0,1.65,0,0,0,0,118.22,0,28.21,3.65,4938.4,89.83,42.15,0,0,0,1.28,0,0,139.3,0,14.26,9.32,10.35,0
