stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,153.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0
  5-6,0,59.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.2,0,0,0,10.11,0,0,0,0,0,0,0,0,8.43,9,0,0,14.23,0,0,0,0,0,0
 10-12,0,0,0,0,3.99,0,0,0,0,0,0,0,0,18.63,5.46,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.55,0,0,0,0,0,0,1.68,0,0,1.17,15.85,0,0,0,0,0,12.34,0.9,0,0,0
 24-34,0,0,0,0,0.59,0,0,0,0,4.42,0,0,0.64,42.56,0.77,0,0,0,1.28,0,34.55,0,0,0
 36-46,0,0,0,0,3,0,0.84,0,0,1.43,0,0,0.65,45.83,0,3.05,0,0,0,0,13.69,0,0.56,0
 48-58,0,0,0,0,10.17,0,2.42,0,0,2.23,0.5,0,0.87,49.19,0,0,0.59,0,0.69,0,1.8,0,0,0.83
 60-70,0,0,0,0,15.16,0.57,1.29,0,10.5,13.35,0,0,0,43.35,0,0,0,0,0,0,3.92,0,0,0
 72-82,0,0,1.34,0,34.27,0.55,8.15,0,0,15.17,0,0,0.59,34.24,0,0,0,0,1.62,0,9.96,0,0.5,0
 84-94,0,0,1.15,1.08,23.64,0,7.72,1.92,1.11,3.14,0,0,1.99,37.48,0,1.04,1.1,0,4.88,0,0.96,1.96,0.98,0
 96-106,0,0,0,0,9.95,0,10.1,0,0,13.62,1.69,1.9,1.56,12.37,0,2.65,0,0,0.73,0,6.92,0,0,0
108-118,0,0,3.91,0.57,33.46,0,4.7,0,0,7.78,0,0,0,17.17,0,0,0,0,0,0,0.69,1.72,0,5.57
120,0,0,0,0,2.71,0,0,0,2.14,0,0,0,1.03,11.68,0,0,0,0,0,0,0,0,0,0
