stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  3-4,11.89,97.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0
  5-6,16.61,45.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.6,0,7.69,0,0,18.57,0,0,0,0,0,0,0,0,0,0,167.5,0,0,0,38.05,0,0,0,0,0,0,0
 10-12,0,0,0,4.09,0,0,9.54,0,0,0,0,0,0,0,0,0,0,387.51,10.09,0,0,48.11,4.49,6.56,0,3.38,0,0,0
 14-21,0,0,0,4.63,144.07,3.16,0.98,0,0,0,1.22,1.23,1.14,0,11.7,0,1.32,11.87,0,0,1.24,0.95,4.88,0,0.85,0,0.92,0,0
 24-34,0.88,0,3.18,10.39,86.56,0,3.73,3.41,0,5.24,1.12,0.63,0,2.06,58.05,0,14.87,59.88,2.77,1.06,4.65,0,4.24,0,1.1,1.16,0,0,2.3
 36-46,0,0,0,0,11.89,0,0,3.24,0,0,0,0,0,0,6.98,0,0,70.17,0,0,1.97,0,4.15,0,0,0,0,2.24,0.8
 48-58,0,0,0,0,1.77,0,0,0,0.57,0,0,0,0,0,0,2.26,0,25.06,0,0,0,0,0.57,0,0,0,0,10.28,3.83
 60-70,0,0,0,0,1.03,0,11.86,0,1.84,3.03,0,0,0,5.97,0.71,0,0,9,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,4.96,0,0.71,0,0,0,0,0,0,0,0,14.04,0,0,0.76,0,0,0,0,0,0,0,4.93
 84-94,0,0,0.89,0,4.15,0,3.11,0,2.63,0,0,1.38,0,0,0,0.78,0.68,15.38,0,0,5.24,0,2.31,0,0,0,0,0,0
 96-106,0,0,0,0,3.25,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.93,0,1.03,0,1.81,2.04,0,0,0,0,2.19,0,1.27,5.3,0,0,1.83,0,0,0,0,0,0,4.16,0
120,0,0,3.73,0,5.55,0,0,1.73,7.21,8.01,0,0,0,0,0,0,0,13.87,0,0,5.6,0,0,0,0,0,0,0,0
