stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3.77,1.52,0,0,0,0,0,0,0,0,0,0.9,0,0,0,1.78,0,0,0,44.66,25.15,1.74,0,0,0,1.53,0.95,7.71,0.88,0,27.19,0,0,0.81,0,0
 24-34,0,0,3.01,0,0,3.58,0,0,0,0,0,0,1.57,0,0,0,0,0,3.3,0,0.63,190.73,0,57.2,3.1,0,0,2.43,0,7.23,0,0.64,282.54,0,0,2.48,0,0
 36-46,0,0.63,0.63,0,0,22.18,0,0,0,6.62,0,0.84,1.94,0,0,0,0,7.33,9.26,0,1.67,516.8,0,78.37,0,0,0,0.77,0,1.41,0,0,580.47,0,0,1.34,0,3.48
 48-58,0,0,4.17,0,0,56.91,0.54,0,3.38,6.17,0.56,0,1.03,0,0,0,0,0,7.5,0,0.39,1000.83,0,44.88,0,0,0,4.88,0,0,0,0,373.51,0,0,0.97,0,9.5
 60-70,0,0,7.16,0,0,87.81,0,0,0.73,3.92,0,0,7.58,0,0,0,0,0,16.38,0,0,1301.38,0,48.52,0,0,0,0.67,0,0,1.01,0,320.06,0,0,10.01,2.04,0
 72-82,0,0,18.8,1.35,0,169.26,0,1.2,0,14.72,1.13,1.06,7.74,0,0.78,0,0,0,30.18,0,3.12,2695.88,0,57.53,0,0,0,2.21,0,0,0,0,326.03,0,0,4.9,0,0
 84-94,0,0,17.79,9.85,0,132.91,0,0,0,24.69,0,0,9.98,0,1.68,0,0,0,15.54,0,0,1824.19,0,70.93,0,0,0,8.09,0,0,0,0,128.32,1.46,0,1.11,0,2.39
 96-106,0,0,9.96,19.11,0,146.34,2.59,0,0,40,1.81,1.41,11.88,0,0,1.56,9.28,0,32.57,0,0,1755.07,0.58,93.25,0,0,0,11.16,0,0,0,0,179.24,0,3.23,2.76,0,6.41
108-118,0,0,15.36,0.92,1.25,108.56,0,0.98,1.02,28.96,2.72,0,16.06,1,0.77,0,3.26,0,31.54,1.38,3.22,2409.31,0,75.61,0.6,0,1.83,15.24,0,0,0.42,0,145.68,1.19,0,5.46,1.05,8.67
120,2.37,0,13.85,0,0,103.81,0,2.37,6.63,78.9,0,0,14.51,0,0,0,0,0,45.5,0,5.78,2874.93,2.55,76.29,0,10.96,0,12.62,0,0,0,0,288.36,0,0,10.64,1.43,0
