stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,immune,iridophores,mesenchyme,muscle,neural,spinal_cord
  5-6,8.42,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.93,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0.86,1,0,0,0,0,0.67,0,0
 48-58,0,0,0,0,0,0,0,2.09,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.52,0
 72-82,0,0,0,0.83,2.33,0,0,10.5,0,1.71,0
 84-94,0,0,0,0,0.99,0,0,0,0,0,0
 96-106,0,2.25,0,17.81,0,0,0,0,0,2.49,0
108-118,0,0,0,0.53,0,3.55,1.59,0,0,0,0
120,0,0,0,0,0,13.25,0,0,0,8.31,0
