stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,125.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.15,0,11.28,0,0,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.74,24.54,0,0,74.87,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.66,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.21,14.12,0,0,59.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.8,8.71,16.07,2.87,0,0,0,0.85,1.03,1.8,0,0,0,0,0,0,15.3,0,0,7.62,41.03,0,0,0,0,0,0,5.84,0,3.84,14.44,20.38,0,0
 24-34,0,0,0.65,2.58,2.99,5.11,0,0,0,0,0,10.56,0.8,2.1,0,0.81,0,0,7.94,0,0,3.21,92.61,0,1.63,0,0,0,2.27,0,6.11,0,14.85,138,0,0
 36-46,0,0,0,0,0,10.04,4.15,0,0,2.85,2.26,10.07,0,0.79,2.75,0,0,0.86,4.13,0,0.77,2.61,36,0,0,2.35,0,0,9.28,0,0.65,0,15.93,201.43,0,0
 48-58,0,0,0,2.12,0,21.5,0,0,0,3.69,0,1.2,0,0,0,0,0,0,4.06,0,0.42,0,28.79,0,0.74,0,0,0.56,0.6,0,0,0,5.65,115.41,0,0.42
 60-70,0,0,0,2.47,10.02,10.37,0,0,0,0.77,0,3.67,0.72,0,0,0,0,0,11.86,0,0,4.95,28.66,0,4.71,0.62,0,0,6.3,0,4.67,0,0.87,82.41,0,0
 72-82,0,0,0,1.61,1.68,6.66,0,0,0,11.43,0.65,2.72,0,0,0,2.78,0,0,11.85,0,0,1.76,20.46,0,2.52,0,0,2.26,0,0,0,0,1.01,184.59,0,3.86
 84-94,0,0,0,0.83,0,9.55,0,0,0,6.75,0.57,3.34,0,0,1.9,0,0,0,9.08,0,0.57,0.79,8.93,0,1.53,2.08,0,0,7.06,0,0,0,0,120.23,0,0
 96-106,0,0,0,3.91,3.03,6.26,0.81,0,0,12.76,0,4.64,0,0.87,0,1.48,0,0,22.53,0,0,6.16,40.64,0,4.2,2.16,0,0,0.83,0,0.81,0,2.15,179.56,7.69,0
108-118,0,0.91,0,2.12,3.6,7.65,0,1.9,1.27,24.29,1.65,2.64,0.94,1.1,0,0.42,1.05,0,25.15,3.33,0.5,2.3,20.47,0,1.95,2.03,0,1.37,7.04,0,0.42,0,0,191.86,0,0
120,0,0,0,0,1.1,0,0,0,0,41.95,0,0,2.44,0,0,0,0,0,4.2,0,0,1.39,45.7,0,0,2.74,0,0,1.67,0,0,0,0,169,0,0
