stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,86.64,4873.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336.8,0,0,0,0,0,0,0,0,0,0
  5-6,35.48,524.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,996.05,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.33,0,14.69,0,0,0,15.23,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,292.8,3.27,0,0,45.9,0,199.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.04,0,36.11,0,0,0,47.8,0,0,0,0,0,45.58,0,0,0,0,0,0,0,0,0,0,0,1306.68,0,0,0,49.01,0,93.13,0,34.39,0,0,0,0,0,0,0,0
 14-21,0.89,0,2.2,12.89,430.08,0.9,0,8.27,0,10.87,0,4.7,12.98,3.41,0,0,92.12,0,0,0,0,2.2,10.93,0,6.37,75.92,1.77,2.7,13.85,0.82,0,683.46,0,22.58,2.64,3.61,24.23,0,0,2.17,0,0
 24-34,0,0,4.79,5.63,115.12,0.67,0,27.95,0,19.17,0,15.28,1.95,0,2.56,2.57,380.53,0,13.25,3.38,0,48.55,69.21,0,17.93,347.84,9.23,101.29,17.69,0,1.14,1143.65,0,61.48,1.81,3.19,90.23,0,0,53.43,0,0
 36-46,0,0,0.99,2.05,86.41,0,0,25.18,0.56,13.65,0.96,26.65,4.45,0.59,0.82,7.94,265.99,2.31,26.1,7.76,0,51.33,38.46,0.56,9.53,274.7,16.85,87.24,19.73,0,0,1199.42,0,42.2,0,0,56.33,0,0,10.13,0,0
 48-58,0,0,0.97,0.84,75.54,0.47,0,51.79,0,29.55,0.58,57.35,4.38,28.47,1.7,4.76,83.45,0,20.26,8.13,0,76.84,47.55,0.4,14.06,206.95,18.08,56.2,23.13,0,0.56,836.52,0,7.98,1.87,0,59.07,0,0,8.89,0,8.85
 60-70,0,0,1.84,0,98.7,12.04,0,131.21,1.87,30.23,0,198.31,23.39,12.04,5.68,17.32,81.78,3.63,29.37,5.14,0,80.58,26.29,0.7,7.84,194.95,7.83,47.28,21.74,0,0,696.94,0,7.04,0,0,44.24,7.85,1.57,13.76,0,0
 72-82,0,0,18.71,0,124.51,34.96,1.86,244.76,0.95,16.92,6.81,289.08,106.99,4.06,3.58,27.28,165.41,4.78,60.25,28.01,0.57,176.24,45.17,9.54,6.43,275.33,1.22,135.92,60.52,0,0,553.01,0,20.22,0,0,54.49,28.93,2.73,24.07,6.26,14.53
 84-94,0,0,9.65,1.19,238.01,59.7,0,170.56,1.26,46.03,3.7,231.57,246.61,5.26,3.94,58.69,242.74,17.72,55.53,35.45,0.73,242.89,76.59,3.26,13.89,208.69,14.22,198.18,59.15,0,0.6,1522.64,1.4,32.71,0,0,43.04,42.53,3.38,15.19,10.37,17.08
 96-106,0,0,12.79,3.45,394.9,104.49,4.43,323.29,6.7,64.03,8.14,471.35,521.91,1.32,8.79,48.64,412.18,4.52,133.19,61.21,7.77,285.61,108.36,3.54,8.74,450.02,9.4,325.21,101.71,0,17.14,1485.43,0,21.91,0,0,47.93,77.01,0.87,42.68,7.66,31.33
108-118,0,0,13.23,4.58,373.89,78.56,6.46,272.66,0.42,80.76,10.11,527.41,647.54,0,2.91,40.89,305.58,12.72,83.02,75.8,2.91,262.96,98.79,18.91,23.4,377.38,18.42,204.52,85.19,0,0,1281.22,0,31.77,0.69,0,40.01,85.49,14.49,44.71,4.45,24.45
120,0,0,2.59,3.17,349.88,52.08,4.57,245.72,1.61,69.29,8.68,470.67,557.78,0,9.12,73.72,227.29,19.35,74.03,57.63,1.64,243.3,29.78,16.88,9.26,515.16,59.52,233.92,80.19,0,11.82,978.94,0,40.52,1.22,0,30.49,34.48,15.78,47.09,18.94,4.69
