stage,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,otic,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,17.35,0,0,0,0
 10-12,0,0,0,0,0,0,7.37,0,0,0,0
 14-21,0,0,0,0,0,0,5.17,0,0,5.22,0
 24-34,0,0,4.66,0,0,0.79,23.85,0,0.69,2.41,0
 36-46,0,0.74,0,0,0.56,1.84,29.06,0,0,3.58,1.47
 48-58,0.39,0,4.73,0,0,0,13.62,0,0,2.88,0
 60-70,0,0,0,0,0.67,0,5.8,0,0,1.34,0
 72-82,0,0,4.34,1.04,0.97,0,2.3,0,0,0,0
 84-94,0,0,0,0,0,0,1.63,1.96,0,1.05,0
 96-106,0,6.32,4.76,0,5.52,0,0,0,0,0,0.91
108-118,0,0,3.24,0,2.13,0,6.76,0,0,0,0
120,0,0,8.76,0,0,0,16.64,0,0,0,0
