stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.77,764.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.34,1472.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.04,7.03,0,0,0,0,18.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.79,59.27,56.52,0,0,115.54,0,0,0,0,0,32.05,0,0,0,0,0,0,0,0,0,0,0,918.96,44.88,0,0,324.03,0,4.5,15.41,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.32,42.5,0,0,34.83,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,525.8,33.28,0,0,156.89,0,0,0,0,22.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.53,0,6.81,0,0,0,4.84,0,0,1.52,0,0.9,0,0,0,0,10.15,0,0,9.52,158.26,0,3.61,1.02,1.67,0,0,0,16.9,0,5.6,10.66,54.28,0,0,1.09,0,0
 24-34,0,0,0.61,4.39,0.95,20.73,0,0,0,2.83,0.71,0,0,0,0,0,0,1.44,0,25.23,0,0,14.34,371.72,2.91,3.35,1.96,0,0,13.06,0,0,0.7,0,2.74,91.11,0,0,0.64,0,0
 36-46,0,0,0,6.78,0,63.6,1.71,1.75,0.67,13.03,0,0.76,2.56,0,0,0,0,0,0,17.31,0,0,10.4,339.4,1.04,0,0.84,0,0,26.7,0,0,1.6,0,0,79.21,0,0,1.27,0,3.23
 48-58,0,0,0,3.7,0,72.58,0.38,0,0.4,21.44,0,0,0,0,0.53,0,0,0,0.48,23.62,0,0,4.06,319.77,1.07,0,0.64,0,0,9.43,0,0,0,0,0,81.56,0,0,1.33,0,4.03
 60-70,0,0,0,10.92,0.7,157.59,8.43,1.18,4.1,17.76,0.68,0,0,0.65,1.02,0,0,0,0,51.77,3.23,0.7,8.29,357.88,1.17,0,0,0,0,6.63,0,0,0,0,0,66.23,0,0,1.56,0,0
 72-82,0,0,0,6.61,11.33,111.44,0,0,3.41,15.24,0,0,0,0.83,0,0,1.5,2.18,0,41.41,0.75,0,0.69,180.01,0,0.52,0,0,0,4.61,0,0,0,0,0,24.67,1.44,0.51,5.62,1.55,5.62
 84-94,0,0,0,5.02,2.65,71.23,0,0.84,0.62,27.54,0.6,0.66,0,4.46,1.44,1.49,0.86,0.6,1.74,32.56,1.6,4,3.06,167.8,0.61,1,0.62,0,0,26.02,0,0,0,0,0,6.82,0,0,0,0,2.11
 96-106,0,0,0,8,8.63,49.74,0,0.56,0,22.16,7.52,0,0,0.79,0,2.08,0,1.06,0,32.26,1.83,0,2.18,109.13,0,1.62,1.34,0,0,11.28,0,0,0.69,0,0,2.57,1.44,0,7.88,0,0
108-118,0,0,0,8.1,9.67,52.18,0,0,0.85,22.06,4.28,0,0.61,1.62,0,4.08,0,0,0,38.83,0.71,0.65,2.49,179.56,0,8.03,0.98,0,4.91,9.47,0,0,0,1.15,0,7.67,0,1.28,1.62,0,0
120,0,0,0,10.87,0,43.37,0,0,0,6.71,9.33,0,0,1.25,0,0,0,11.17,0,78.8,0,0,0,193.76,3.89,0,6.35,0,0,2.94,0,0,0,2.07,0,0,0,0,1.62,1.8,0
