stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,30.95,0,0,11.93,0,8.31,0,0,0,0,0,0,0,0
 10-12,0,15.41,0,0,0,0,0,0,0,0,0,0,0,14.32,0,0,4.96,0,0,0,7.68,0,0,0,0,0,0
 14-21,1.36,0,6.57,6.45,0,0,0,7.12,0,31.44,0,0,8.09,11.99,48.82,0,5.04,0,1.02,2.64,0,0,2.95,2.83,0,0,0
 24-34,0,0,2.18,0,0.82,0,0,0,0,58.63,0,0,34.12,15.08,10.29,0,0,0,0,0,0,2.18,0,7.11,0,0,0
 36-46,0,0,0,0,0,0,0,2.86,8.68,112.86,0,0,18.75,67.22,3.25,1.79,0,0,0,0,0,18,0,7.77,1.69,0,0
 48-58,0,0,0,0,1.15,0,0.44,0.93,0.51,75.98,0,0.83,15.62,45.53,2.66,0,0,0,0,0,0,3.76,0,2.75,0,1.64,0
 60-70,0,0,5.22,0,7.12,0,0,0,0,58.19,0,1.04,14.49,79.92,0.65,0,0,0,0.78,0,0,4.34,0,9.08,0.59,1.64,0
 72-82,0,0,0,0,12.3,0,6.36,1.38,0,58.02,0,0,14.91,167.31,0.55,0,0,0,0.51,0,0,2.68,0,6.22,2.09,12.58,0
 84-94,0,0,4.5,0,9.12,0,2.11,0,0,49.35,1.67,0,17.37,83.98,0,0,0,0,0,0,0,2.29,0,3.4,0,3.56,1.25
 96-106,0,0,12.86,0,27.95,4.44,11.21,3.72,0,59.92,0,1.43,16.45,127.89,4.49,0,0,1.28,0,0,0,1.96,0,6.77,3.26,20.75,0.8
108-118,0,0,4.07,0,12.66,0.48,1.5,0,0.51,62.01,0,6.68,4.32,97.58,3.6,0,0,6.2,0,0,0,5.6,0,9.06,1.37,12.98,2.47
120,0,0,2.79,2.93,62.34,0,5.4,0,0,95.97,0,2.08,1.86,207.2,0,0,0,0,0,0,0,0,0,4.09,12.35,8.69,0
