stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.32,9.27,1.85,0,7.33,0,0,0,0,0.99,0,0,0,0,0,3.52,0,0,29.69,87,1.08,0,0,2.2,0,0,10.7,0.81,2.95,26.05,0,0,0,0
 24-34,0,5.85,0,0,4.3,0,0,0,2.61,0,0,0,0,1.2,0,20.14,0,0,5.64,82.21,0,0,0,0,0,3.39,0,0,0.66,22.86,0,7.64,0,0
 36-46,0,0.63,0,0,9.71,0,0,0.96,4.24,0,1.05,0,0,0,0,11.37,0,0.89,3.75,82.4,0,1.29,0,0,0,11.11,0,0,0,24.8,0,4.23,0,0
 48-58,0,1.76,0,0,17.16,0,0,0.85,7.32,0,0,0,0,0,0,16.01,0,0.95,0.95,74.22,0,0,0.61,0,0.39,4.12,0,0,0,11.59,0,0,0,0
 60-70,0,0,0,0,17.88,0,0,0,7.33,0.72,0,0.92,0,0,0,8.75,0,0,0.59,69.82,5.92,0,0,0,0,2.25,0,0,0,9.09,0,3.07,0,0
 72-82,0,2.81,0,0,38.4,0,0,1.16,14.15,0,1.79,0,2.14,0,0,13.15,0,1.79,0.51,58.3,0,2.52,1.74,0,0,0.54,0,0,0,19.31,0,0,0.71,0
 84-94,0,0.69,0,0,6.42,0.75,0.58,0,1.85,1.01,0,0.7,0,0,0,13.01,0,0,0,34.38,0,0,0,0,0,1.05,0,0,0,0,1.63,0,0,0.69
 96-106,0,0.88,2.25,0,20.9,0,0,0,7.95,0.77,0,0.59,0,0,0,11.12,0,0,0,36.73,0,0,1.2,0,0,0.6,0,0,0,0,0,0.88,1.93,0
108-118,0,1.45,1.56,0,8.16,0.89,1.1,1.4,8.79,1.41,0,0,0.73,0,0.53,22.81,0.91,1.21,0,38.56,0,4.7,2.23,0,0,0,0,0,0,3.24,1.76,6.65,0,0
120,0,0,0,2.68,27.84,0,0,0,13.05,0,1.61,0,3.91,0,0,13.17,0,8.42,5.6,47.79,2.48,0,0,0,0,1.95,0,0,0,0,0,0,1.93,0
