stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,17.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.34,62.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,4.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.69,37.79,3.76,0,0.85,0,0,0,1.06,0,17.21,0,0,0,3.07,162.49,0,27.96,61.15,0,0.83,0,0,0,0.9,0,0,2.28,8.1,0,0,0
 24-34,1.76,0,0,3.77,10.54,2.61,0,2.9,0,0,0.74,10.82,0,27.71,0,0,0,5.41,248.16,1.66,32.5,78.07,0,0,0,0.99,5.06,0,16.18,0.8,0,17.78,0,9.07,0
 36-46,0,0,0,0.63,2.17,0,0,6.06,5,0,0,1.29,0.66,19.71,0,0,0,4.25,62.01,7.95,0,30.77,0,0,0,0,19.38,0,5.57,0,0,14.78,0,0,0
 48-58,0,0,0,0,3.86,0,0,24.09,0.99,0,0,2.52,0,27.02,0,0,0,4,77.12,9.49,8.43,8.65,0.5,0,0,6.25,0,0,0.56,0,0,2.9,0,0,0
 60-70,0,0,0,0,0,0,0,26.29,0,0,0,0.77,0,18.84,0,0,0,3.26,95.77,30.17,13.27,28.09,0,0,0,24.65,0,0,0,0,0,1.24,6.46,0.73,0
 72-82,0,0,0,0,3.86,0,0,17.13,0,0,0,2.34,0,41.92,0,0.53,0,0,167.68,64.96,6.87,10.57,0,0.79,0,39.88,0,0,0,0,0,7.25,2.68,2.09,3.85
 84-94,0,0,0,0,3.86,0,0,9.23,0,0,0,0.93,0,29.38,0,0.61,0,0,135.03,46.6,11.45,18.96,0,0,0,19.83,0,0,5.75,0.63,0,1.11,0,0.72,0
 96-106,0,0,1.07,0,4.31,0,0,13.92,0.57,0,0,2.07,0.66,59.43,0,0,1.76,0.73,164.28,23.62,12.91,28.59,0,0,0,40.46,0,0,5.47,0,0,0,4.16,1.2,2.13
108-118,0,0,1.69,0,2.78,0,0,9.48,0,0,0.62,6.34,0,35.22,0.56,0,0,0,172.9,46.42,5.82,40.82,0,2.49,0,52.77,1.67,0,4.59,0,0,0,5.57,1,0.73
120,0,0,0,0,0,0,14.59,18.79,0,1.37,20.67,0,0,12.8,0,0,0,0,145.28,105.93,12.26,63.66,0,0,0,109.89,1.1,0,0,0,0,0,0,0,6.69
