stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.49,30.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.92,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,2.02,0,3.13,0,0,0,0,1.08,0,0,0,0,0,0,0,2.14,0,0,4.24,31.46,0.92,0,0,0,0,0,0.9,2.87,0,0.81,8.02,5.38,0,0,1.08,0
 24-34,0,0,0,0,2.71,0,4.8,0,0,1.59,0,0,0,0,0,0,1.26,0,0,6.84,0,0,3.12,98.45,0.74,0.96,0.64,0,0,0,0,0,0.6,0,0,22.49,0,0,2.9,0
 36-46,0,0,0,0,0,0,24.82,0,0,0.6,0.97,0,0,0,0,0,0.68,0,0,9.12,0,0,0.76,129.03,0,0,0.8,0,0,8.58,0.81,0,0.59,0,0,21.64,0,0,0.82,0
 48-58,0,0,0,0,3.2,0,39.22,0,0.62,0,10.23,0,0,0.81,0,0,0,0,0,12.18,0.39,0.37,2.94,161.09,0,0,0.43,0,0,5.58,0,0,3.39,0,0,27.92,0,0.61,1.37,0
 60-70,0,0,0,0,1.15,0,62.25,0,0,0,1.41,0,0.77,0,0,0,0,1.2,1.24,23.18,0,6.42,0,119.91,0,0,0.64,0,0,1.87,0,0,1.06,0,0,8.17,1.72,0,1.4,0
 72-82,0,0,0,0,0,0.88,54.43,2.27,0,0.56,7.74,0.53,0,0,0,0,0,0,0,11.03,5.11,0,0.7,106.3,0,0,0,0,0,1.9,0,0,0,0,0,10.67,0.68,0,0.87,0
 84-94,0,0,0,0,1.19,0,19.12,0,0.59,0,7.38,1.01,0,0.78,1.36,0,1.72,0,0.68,15.01,0,0,1.8,96.93,0,0.66,0,0,0,5.76,0,0,0.91,0,0,15.76,0,0.89,0.66,0
 96-106,0,0,0,0,4.31,0,24.32,0,0,4.2,1.24,0,0,1.05,0,0,0.65,0,0,15.64,0,0,0,59.11,0,0,0.85,0,0,0.75,0,0,0,0.64,0,0,0,0,0,1.89
108-118,0,0,1.03,0,2.2,0,15.01,0,0,0,8.84,0.48,0,0,0,0,0,0,0,21.73,0,0,0,75.09,0,1,0,0,1.32,10.32,0,0,0,0,0,0,1.01,3.45,2.86,0.93
120,0,0,0,0,0,0,27.46,0,0,0,4.48,9.1,0,0,0,1.18,4.13,0,0,23.69,0,0,6.6,163.98,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0
