stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,97.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0
  5-6,150.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.52,0,34.83,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,139.52,8.31,0,0,79.53,0,3.28,0,0,0,0,0,0,0,0
 10-12,0,0,9.55,0,19.17,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,81.31,0,0,0,17.35,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.59,2.1,0,0,0,1.08,0,0,0,0.81,0,0,0,0.85,1.99,0,11.08,43.83,10.77,0,0.98,0,0,0,7.13,0,13.84,5,13.19,0,0,0
 24-34,0,0,0.81,2.95,2.79,2.02,0,2.53,0,0,0.69,0.69,1.24,0,0,0,2.18,2.76,0.69,3.51,124.07,0.8,2.92,0,0,0,1.13,0,0,0,0,19.12,0,1.68,0
 36-46,0,0,0,1.45,17.92,0,0,3,0,0,0,0,0,0,0,0,0,6.25,0,2.7,139.69,0.66,4.98,0,0,0,7.04,0,0.63,0,0,38.94,0,0,0
 48-58,0,0.54,0,5.74,20.38,0,0,22.1,1.57,0,0,8.67,0,0,0.47,0,1.1,20.46,0,3.24,120.83,0.62,2.63,0.43,0,0,5.38,0,0,0,0,23.88,0,13.05,0
 60-70,0,0,0,0,34.74,0,2.61,4.17,0,0,0,16.87,0,0.63,0,0,0,11.15,0,0.89,95.51,0,1.95,1.84,0,0,1.55,0,0,0,0,8.8,0,2.69,0
 72-82,0,0.95,0,3.99,25.84,0,0,20.35,0,0,0.91,34.58,0,1.03,0,0,0,21.23,0,0.81,109.86,0,1.24,0.95,0,0,1.76,0,0.75,0,0,7.67,0.87,2.06,0.61
 84-94,0,0,0,0.82,21.52,0,9.28,6.32,0.77,0,0,16.38,0,0,0,0,0,7.73,0,1.57,56.25,1.12,0.95,0,0,0,0,0,0,0,0,6.74,0,1.77,0
 96-106,0,0,0,6.07,18.72,0,0,2.67,0,0,0,95.2,0,0,0,0.77,0,5.06,0.67,0.65,48.68,0.62,4.59,1.96,0,0.97,5.7,0,0,0,0,0,0,1.43,0
108-118,0,0,0,7.93,30.47,0,0,10.59,0,0,0,106.87,0,0.58,0.92,0.48,0,12.8,0,0,80.22,0,1.39,0,0,0.76,1.18,0,0.5,0,0,1.98,0,1.49,0
120,0,0,0,3.06,14.05,0,0,0,0,0,0,102.29,0,0,0,0,0,20.15,0,0,91.16,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0
