stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,17.18,568.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0
  5-6,57.37,476.4,0,0,0,0,0,0,0,0,0,0,0,0,41.02,0,0,0,8.05,0,15.25,0,0,0,0,0,0,0
  7-9,4.11,20.37,31.2,0,0,39.4,0,0,0,0,0,0,0,0,258.71,10.04,0,0,89.09,0,0,11.11,0,0,0,0,0,0
 10-12,0,12.42,50.73,0,0,24.32,0,0,0,0,0,0,0,0,198.48,8.85,0,0,91.58,0,0,0,0,27.89,0,0,0,0
 14-21,0,0,0,1.69,0,0,0,1.67,0,0,0,2.27,0,0.9,24.29,2.08,0,0,0,0,1.76,0,6.23,0,11.95,0,0,0
 24-34,0,0,0,1.35,0,2,0.72,0,0,0,0,7.03,0,0.86,26,0,1.62,0,0,0,2.83,0,0,0,7.75,0,0.87,0
 36-46,0,0,0,0,0,7.79,2.34,0,0,0,0,2.46,0,0,12.67,0,0,0,0,0,1.87,0,0,0,7.67,0,0,0
 48-58,0,0,0,0,0,10.1,0,0,0.39,0,0,7.59,0,0.6,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,11.87,5.97,0,0,0,0,0,0,0,21.48,0,0,0,0,0,0,0,0,0,4.81,0,0,0
 72-82,0,0,0,0,0.58,12.57,0.73,0,0,0,0.54,3.64,0.74,0,18.27,0,0,0,0,0,0,0,0,0,2.65,0,0,0
 84-94,0,0,0,3.36,0,3.82,3.86,0,0,0,0,4.27,0,0,8.45,0,0,0.59,0,0,0,0,0,0,6.58,0,0,0
 96-106,0,0,0,1.18,0,1.68,4.14,1.47,0,0,0,0,0,0.66,13.64,0,0,0,0,0,0,0,0,0,0,0.83,0,1.5
108-118,0,0,0,0.54,0,1.42,0,0,0,0,0.7,5.35,0,0,10.12,0,0,0,0,0.89,0,0,0,0,0.42,0,0,0
120,0,0,0,1.46,0,3.51,0,0,0,1.4,0,3.85,0,0,26.41,0,0,0,0,0,0,0,0,0,0,0,0,0
