stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,34.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.16,33.88,0,0,122.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.93,0,50.02,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,1705.9,111.98,0,0,1205.26,0,0,0,0,0,74.85,0,0,0,0,0
 14-21,0,0,0,1.79,9.38,0,4.35,0,0,38.42,0,0,0,0,0,0,0,0,1.56,732.59,5.24,7.89,7,10.06,0,0,1.32,5.98,6.04,435.28,0,0,0,0,0
 24-34,0,0,0.62,0,11.64,0,268.7,0,2.47,97.9,0,0,2.33,0,0.65,1.38,10.62,0,8.05,2662.99,3.28,10.47,24.28,0,0,9.51,4.27,0,4.08,925.19,0,0,9.88,0,0
 36-46,0,0,0,0,1.54,0,395.95,0,0,161.22,0,0,0,0,0,0,11.15,0,2.51,1896.83,0,5.43,12.01,0,0,0,0,4.22,0,589.37,0,0,2.68,0,0
 48-58,0,0,0,0,20.81,0,352.31,1.02,0,258.01,0,0,0,5.18,0.44,0,11.09,0.42,7.75,1123.55,4.94,0.98,2.54,0,0,0,0,1.28,0,341.79,0,0,2.64,0,2.29
 60-70,0,0,0,0,4.5,0,173.38,0,0,312.8,0,0,0,6.06,3.27,0,15.32,0,0.68,654.03,2.55,0,0.85,0,0,3.99,0,0,0,248.5,0,0,0,0,0
 72-82,0,0,0,0,4.34,0.59,88.51,0,1.95,275.13,0,0,0,0.58,0,0,13.13,0.75,1.1,372.43,0,5.58,1.8,0,2.19,2.38,0,0,0,54.2,0,0,0.96,0,0
 84-94,0,0,0,0,2.41,0,65.45,0,0,174.24,0,0,0,0.75,0,0,8.98,0,0,240.34,0.64,0.97,3.02,0,0,0,0,0,0,61.4,0,0,0,0,0
 96-106,0,0,0,0,5.9,0,46.73,0,0,188.2,0,0,0,0,0,0,5.69,0,0.6,248.79,0,0,4.2,0,6.8,1.87,0,0,0,16.11,0.62,1.48,0,0.56,0
108-118,0,0,0,0,1.4,0,38.68,0,0,324.55,0.63,0,0,0,0,0,5.58,0,0,341.61,0,0,11.07,0,0,0,0,0,0,22.95,0,0,0.59,1.22,0
120,0,0,0,0,10.73,0,95.46,0,0,492.73,2,1.01,0,0,0,0,3.18,0,3.89,298.75,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0
