stage,epidermis,eye,fast_muscle,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,slow_muscle,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.82
 24-34,0,0,0,0,0,0,0,0,0,2.29,0,0
 36-46,0,0,4.43,0,0,0,0,0,0,1.8,0,0
 48-58,0,0,0.46,0,0,1.47,0,0,0,6.88,2.16,0
 60-70,0,5.62,0,0,0,0.74,0,0,0,4.48,0,0
 72-82,0.97,10.9,7.47,0,0,0.88,0.5,0,0,4.17,0.64,0
 84-94,0,0,0,0,0,0.62,3.47,0,0,3.31,9.21,0
 96-106,0,12.64,14.5,0,0.68,4.33,0,0.71,0,14,6.95,0
108-118,5.45,0.5,6.5,0.42,0,7.77,3.45,0,1.67,11.38,4.53,0
120,0,8.11,6.82,0,0,18.46,0,0,0,0,4.61,0
