stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros
  3-4,92.18,928.75,0,0,0,0,0,0,52.96,0,0
  5-6,29.97,785.66,0,0,0,7.06,0,10.29,10.17,0,0
  7-9,7.16,27.02,18.82,43.67,11.43,501.71,4.25,110.49,0,3.47,0
 10-12,0,25.47,51.12,31.07,16.09,467.06,28.91,174.78,0,9.34,40.72
