stage,erythrocytes,eye,fast_muscle,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.1,0,8.35,0,0,0,0,0
 14-21,0,0,0,0,0,1.35,0,0.84,0,0.89,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.64,0,1.88,1,1.96,0.67,0,0,0,6.67,3.51,0,0,0
 36-46,0,0,0,0,1.57,0,0,5.72,0,0.61,0,0,0,0,26.19,1.88,0,0,0
 48-58,0,3.4,0,1.46,0,0,0,6.9,0.88,0,0,0,1.97,0,40.76,0.66,0,0,0.48
 60-70,0,7.39,11.31,0,0,5.63,0,13.44,0,0.84,0,0,0,0,16.09,6.68,0,0,0
 72-82,0,9.69,3.86,0.86,0,0,1.28,1.3,0,0,0,0,0,0,17.67,0,0,1,9.05
 84-94,0,19.13,19.7,3.06,0,0,0,17.23,0,0,0,0,0,0,28,1.27,0,1.59,0
 96-106,1.12,21.61,0.57,2.6,0,2.84,0,1.98,0,0.83,0,0,0,0,12.82,5.59,2.88,0,0
108-118,0,17.88,20.84,0,0,0,0,0,0,0,0,0,0,0,32.62,1.81,0,0,3.93
120,0,16.08,4.55,0,2.27,0,0,12.29,0,0,0,0,2.07,0,4.13,0,0,0,0
