stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.03,15.44,0,0,5.46,0,0,0,0,3.38,0,0,0,0,0,0,1.13,8.52,0,0,1.2,49.96,0.99,1.04,2.49,1.12,10.76,5.37,1.84,0,11.2,12.38,0,0,0,0,0
 24-34,0.9,0,7.91,0.62,0,7.1,0,0,0,0.91,0,0,0,0.69,0,0,0,0,7.61,0.63,0.82,2.9,215.57,1.3,2.92,3.17,0,9.67,0,0,0,1.36,29.87,0,0,0,0,0.86
 36-46,0,0,0.6,1.1,0,19.37,0,0,0,8.64,0.72,0,2.1,0,0,0.56,0,0,7.33,0,0,2.6,309.79,0.69,3.37,0.96,0,13.2,0,0,0,0,65.04,0,0,2.88,0,1.47
 48-58,0,0,2.28,0.5,0,63.77,0.39,0,0,10.1,1.14,0,3.94,0.48,0,0,0.37,0,31.84,0,0.56,0.78,255.64,7.32,7.79,9.79,0,5.59,0,0,0,0,39.61,0,0,0.66,0,0
 60-70,0,0,0,0,0,107.07,0,0,1.49,20.94,0,0,0,0,0,0.88,0,0,21.43,2.04,0.63,2.65,468.17,8.01,3.07,0,0,5.36,0,0,0,0,62.66,0.77,0,0,0,0
 72-82,1.83,0,10.58,4.7,0,76.04,0,0,0,4.65,2.63,0.52,1.16,0,0,0,0,0,19.65,0,0.96,2.48,130.98,0,1.39,2.39,0,8.33,0,0,0.79,0,15.09,0,0,2.93,1.31,0
 84-94,0,0,2.87,0,1.17,90.51,0,1.31,7.03,13.37,0.92,0,0,4.28,0,1.72,1.03,0,17.56,0,1.14,2.85,105.04,0,4.31,3.9,0,15.06,0,0,0,0,15.67,2.71,2.21,1.96,0,0
 96-106,0,0,4.41,10.15,0,32.97,0,0,0,12.96,1.01,0,0,0,0,1.88,1.23,0.57,13.7,0.69,0,6.16,74.97,0,7.15,2.32,0,14.95,0,0,0,0,2.1,1.01,2.03,0.88,0,0
108-118,2.52,0,6.35,2.28,3.82,53.96,0,0,5.03,10.27,3.26,0,2.99,1.13,3.36,2.74,0.94,0,30.91,0.44,0,3.21,162.42,0.71,7.42,4.14,0,14.86,0,0,0,0,9.2,0.48,0,1.42,0,0
120,0,0,8.08,14.79,13,79.65,0,0,8.75,9.48,0,0,13.71,0,0,0,0,0,14.85,0,5.9,0,100.64,0,3.36,13.77,0,12.2,0,1.02,0,0,11.49,0,0,9.42,0,0
