stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.67,30.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,12.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,5.1,35.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,1.12,0,2.36,10.3,5.65,0,0,0,3.55,1.03,0,9.11,2.15,0,0,0,0,0
 24-34,0,0,0,0,0,2.03,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,5.1,0.83,0,0,0,2.33,0,2.22,0,0.83,0,0,1.77,0,0
 36-46,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,12.35,0,0,0,0,14.33,0,0,0,0,0,0,2.89,0,0
 48-58,0,0,0,0,0,6.15,0,0,1.59,0,0,0,0,3.66,0,0,0,1.64,0,0,0,13.36,0,2.08,0,0,1.52,0,0,0,0.85,0,0,2.85,0,1.11
 60-70,0,0,0,1.38,0,23.27,0,0,3.78,0,0,0,1,0,0,0,0,7.35,0,0,0.6,60.49,0,0,0,0,16.41,0,0,0,16.01,0,0,0.83,0,2.38
 72-82,0,0,0,1.21,0,14.47,0,0.62,10.38,0,0,0,0,0,0,0,0,14.46,0,0,0,67.74,0,6.06,0,0,2.48,0,0.55,0,15.9,0.8,0.91,1.18,0,0
 84-94,0,0,0,7.22,0.74,26.57,0,0,8.23,2.14,0,0,1.84,0,0,0,0,25.64,0,0,2.85,85.94,0,1.1,0,0,25.34,0,0,0,0.75,0,0.84,0.66,0,2.62
 96-106,0,0,0.88,3.15,0,50.64,0,0,12.85,0,0,0,2.91,0,0.58,0,0,6.54,0,2.34,2,98.84,0,6.37,10.66,4.36,13.98,0,1.44,0,4.46,0,1.84,5.27,0,0
108-118,0,0,0,4.28,0,54.02,2.62,0,11.99,1.97,0,0,0.65,0,3.88,1.7,0.74,23.67,0,0,0,109.73,0.77,1.95,0,0,7.09,0,0,0,4.24,0.58,0,5.86,1.09,0.59
120,0,0,0,22.17,0,2.78,0,3.94,1.91,0,0,0,0,0,0,0,0,8.33,2.14,0,1.47,148.23,0,9.33,0,0,16.3,0,0,0,0,0,0,0,0,0
