stage,erythrocytes,eye,immune,mesenchyme,neural,periderm,spinal_cord
 14-21,0,0,0,0,1.48,0,0
 24-34,0,0,0.61,0,3.57,0,0
 36-46,0,0,0,0,8.33,0,0.69
 48-58,0,0,0,0,0.96,0,0.76
 60-70,0,0,0,0,2.8,0,3.94
 72-82,0.55,0.49,0,0.58,2.32,0,0
 84-94,0,0,0,0,0,1.26,0
 96-106,0,0,0,0,4.11,0,0
