stage,blastomeres,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,12.35,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.06,8.54,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.18,0,0,0
 14-21,0,8.26,1,0,0,0,0,1.15,0,1.83,0,1.76,0
 24-34,0,0,1.04,0,0,0,0,0,1.02,9.07,0,1.37,0
 36-46,0,0,0,1.8,0,0,0,1.13,0,2.8,0,0,0
 48-58,0,0,5.87,0.91,0,0,0,0,0.41,0,0,0.55,0
 60-70,0,0,16.72,0,0,0,0,4.11,0,2.15,0,2.44,0
 72-82,0,0,35.49,3.31,0,0,0,0,0,2.04,0,0,0
 84-94,0,0,27.05,0,1.31,0,0,0,0,9.78,0,0.98,0
 96-106,0,0,123.75,0,0,0,1.05,0.98,0,2.94,0,0,1.58
108-118,0,0,92.18,0,0,0.45,0,0,0,10.7,0,1.81,0
120,0,11.44,285.71,0,0,0,0,0,0,16.92,0,0,0
