stage,epidermis,eye,fin_epithelia,fin_mesenchyme,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,8.59,6.88,0,0
 10-12,0,0,0,0,0,0,0,0,4.11,6.22,0
 24-34,0,0,0,0,0,0,0,1.14,0,8.27,0
 36-46,0,0,0,0,0,0,0,1.23,0,17.97,0
 48-58,0,0,0,0,0,0,0,0,0,14.81,0.86
 60-70,0,0,0,0,0,0,1.04,0,0,3.49,0
 72-82,0,0,2.97,0,0,0,0,0,0,4.35,0
 84-94,1.03,1.15,0,0,0.68,0,0,0,0,20.27,0
 96-106,8.62,0.67,0,0,0,1.36,0,2.37,0,21.17,0
108-118,3.8,0,0,0.53,0,0,3.4,1.92,0,25.45,0
120,11.01,0,1.45,0,0,0,0,5.31,0,30.55,0
