stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,5.29,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.04,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,169.13,0,3.75,0,0,0,0,0,0,0,0,130.64,0,0,0.87,0,0
 24-34,0,6.67,6.31,0,0,38.84,0,0,0,10.31,0.59,0,0,1.47,1,0,0,0,0,6.28,0,0,5.44,1813.76,0,50.8,8.59,0,0,5.91,0,0,0,1.05,697.35,0,0,4.56,0,0
 36-46,0,1.04,2.5,0,0,119.39,0,0,2.7,14.59,0,0,0.89,3.24,0,2.31,0,0,0,8.79,0,0,1.36,4571.51,4,74.95,0,0,0,15.45,0,0,0,0,1081.89,0,0,1.81,0,0
 48-58,0,1.21,27.14,1.93,0,785.51,1.83,0,0.58,61.41,0,0,0.48,0.5,0,0.92,6.77,0.6,11.65,54.46,0,0.44,10.38,6043.44,23.96,42.82,4.23,0,0,15.1,0,0.73,0.46,0,1077.07,0,0,9.13,0,13.61
 60-70,2.52,3.17,12.43,2.18,0,3361.5,0,5.49,0,69.04,0.62,0,0,0.65,0,15.72,3.02,2.46,0,43.53,2.63,0,2.91,9136.42,0,36.94,19.81,0,0,19.33,0,4.15,0,0,1216.09,0,0.8,0.72,0,26.12
 72-82,0,12.01,58.99,23.65,1.16,7033.81,0.59,1.07,13.29,233.41,11.96,0,1.93,1.18,1.37,7.06,4.35,0,2.67,173.19,1.77,2.84,6.66,10354.75,1.46,59.18,20.66,0,0,13.83,0,0,3.15,0,904.08,3.17,3.39,14.27,2.45,30.95
 84-94,0,13.52,67.34,14.61,0,5215.6,1.34,1.52,5.96,141.96,10.83,0,4.2,3.53,3.85,5.27,0,1.15,1.53,99.56,0,3.9,21.12,6484.06,0,57.87,30.08,0,0,13.51,0,5.09,0,0,678.94,3.51,2.14,2.39,7.66,0
 96-106,0,6.38,47.68,26.12,0.6,4912.25,2.33,1.47,4.62,164.2,8.25,0,0,0.81,2,14.73,7.55,9.4,0,56.73,2.07,6.5,18.16,5356.17,0,75.63,45.17,0,0,42.37,3.39,3.81,0,0,293.47,5.2,4.53,17.67,8.8,30.26
108-118,0,4.07,55.97,12.95,1.38,4431.92,1.89,3.97,7.78,180.02,4.64,0,0,8.04,1.01,27.02,0.87,3.75,0,60.55,1.15,0.94,6.44,8029.5,0.68,57.55,38.46,0,0,13.64,1.58,0,0,0,312.56,10.52,2.51,11.12,3.76,24.28
120,0,2.94,78.04,8.17,0,3793.07,0,1.11,34.81,213.29,6.42,0,1.54,24.29,3.22,13.6,1.15,3.92,1.51,116.38,0,10.53,12.74,12592.43,0,68.69,45.5,0,3.68,35.58,1.53,0,1.63,0,427.41,14.66,0,4.29,0,0
