stage,eye,immune,ionocyte,neural,periderm
 24-34,7.06,0,0.81,0,0
 36-46,2.96,0,0,0,0
 48-58,1.4,0,0,0,0.39
 60-70,21.6,0,0,0.97,0
 72-82,14.54,0.52,0,1.3,0
 84-94,18.61,0.73,0,0,0
 96-106,41.55,0.59,0,2.11,0
108-118,54.98,0,0,1.25,0
120,114.68,0,0,5.9,0
