stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,188.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.83,0,0,0,0,0,0,0,0,0
  5-6,12.91,152.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.39,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.72,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14.62,48.72,5.25,0,0,0,0,0,0,1.56,0,0,21.59,0,0,0,0,7.08,0,0,4.03,10.8,48.44,0,0,0,0,155.41,1.05,0,0,0.92,0,0,0,0,0
 24-34,0,0,2.74,0.94,282.2,0,0,7.29,0,6.09,0,0.7,0.63,0,0,5.34,0,0,10.05,0,20.85,17.19,0,1.81,76.3,35.58,9.71,2.89,0,0,1091.9,0,0,0,9.04,0,0,3.46,0,0
 36-46,0,0,0.94,7.6,690.94,0,0,14.23,0,8.37,0,0,0,1.84,0.63,15.61,0,1.82,0.89,0,56.95,24.22,32.47,3.3,101.37,24.45,64.08,9.48,0,0,1943.02,1.63,1.13,0,20.65,0,0,4.16,0,2.48
 48-58,0,0,0,1.21,481.56,0,0,24.41,0.67,20.96,2.97,4.62,1.95,0,0,8.43,0.51,0,0,2.79,75.49,14.56,33.82,4,104.37,2.57,16.01,2.05,0,0,902.34,0,0,0,15.39,0,0.42,1.91,0,8.93
 60-70,0,0,83.89,0,748.83,0,0,66.67,0,53.18,1.65,1.34,24.93,0.93,0.67,25.61,0,6.85,1.39,0,326.89,21.67,122.75,2,220.98,3.95,105.36,0,0,0,1222.08,0,0,0,13.02,23.43,27.8,3.81,92.57,5.57
 72-82,0,0,168.95,0,412.76,0,0,50.65,0,26.74,2.06,4.37,13.78,0,3.08,20.68,0,3.39,0,2.16,192.16,14.37,15.54,0.75,161.76,0.61,32.12,0.56,0,0,952.31,0,0.64,0.77,12.44,39.55,11.83,3.12,39,10.78
 84-94,0,0,59.74,0,1138.59,13.42,0,63.8,0,124.54,0.75,3.89,51.94,0,2.82,64.24,0.93,0,2.62,0,227.41,33.12,57.67,0.95,69.66,0,160.61,2.85,0,0,3287.21,0,0,0,0.75,120.53,38.29,15.85,66.19,0
 96-106,0,0,51.93,0,1867.04,7.64,0,72.21,0.87,164.56,3.47,20.54,62.96,0.61,6.47,136.34,3.76,1.6,19.46,0,312.9,59.35,27.81,8.07,219.11,0.6,207.08,5.12,0,0,3608.02,0,0,0,9.93,278.58,7.78,23.72,41.46,4.83
108-118,0.83,0,54.88,0,1890.85,1.42,1.01,42.69,0.78,141.67,1.44,12,91.37,0,3.05,260.27,0,0,4.75,0,261.59,62.17,22.94,4.68,160.22,2.77,138.22,4.67,0,2.47,3383.13,0,4.1,0.43,11.92,202.31,9.03,15.72,49.61,0.57
120,2.82,0,107.08,0,1323.66,8.41,1.71,31.02,0,152.94,0,4.22,41.79,9.97,4.46,75.69,0,0,11.83,0,223.32,21.15,2.18,8.75,257.63,0,68.77,19.58,0,0,2178.18,0,0,0,0,95.52,7.48,18.01,7.67,0
