stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.98,188.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.93,97.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.96,0,7.57,0,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.47,3.78,0,0,13.14,0,0,7.71,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,16.43,0,7.85,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.75,36.48,0,0,67.11,0,4.52,0,0,0,6.54,0,0,0,0,0,0
 14-21,0,0,2.16,6.12,43.77,2.81,0,7.4,1.94,0,0.99,5.03,0,0,0,0,0,0,0,16.74,0,0,13.51,123.9,2.23,2.39,1.99,0,0,4.21,0,4.03,1.76,4.49,50.48,0,0,1.9,0,0
 24-34,0,0,1.05,0.84,40.23,0,0,30.31,5.99,0,6.68,3.3,0,0.8,3.57,0,0,0,0.92,48.09,0,0,12.92,439.97,7.78,7.63,1.69,0,0,12.11,0,0.83,0,0.69,105.06,0,0,10.25,0,3.55
 36-46,0,0,0,0,9.36,0,0,66.25,7.32,0.6,10.73,0.56,0,3.56,0,1.47,0,0,4.05,51.56,0,2.27,10.17,472.17,4.59,13.34,8.08,0,0,13.19,0,0,0,0,89.26,0,0,6.09,0,22.12
 48-58,0,0,0.54,0,21.35,0,0,120.61,4.17,0.41,30.23,0,0,1.34,0,0,1.84,0,3.14,42.46,0,0.9,7.61,314.01,3.08,10.45,2.52,0,0,19.26,0,0,0,0,77.02,0,0,9.66,0,2.07
 60-70,0,0,0,0,26.68,2.26,0,176.84,2.71,0.83,29.62,2,0,8.06,1.32,3.24,3.51,0,0,66.99,0,11.25,4.24,285.92,0,6.52,1.51,0,0,17.76,0,0,0,0,73.72,0,0,21.68,0,0
 72-82,0,0,1.25,0,12.21,0,0,221.62,3.96,0.89,32.23,9.72,1.25,2.62,1.26,0,1.37,0.5,2.67,73.69,0.74,8.79,4.95,286.54,0,12.53,0,0,0,2.18,0,0,0,0,46.65,1.47,0.73,31.43,4.05,1.16
 84-94,0,0,0,0,20.8,0,0,240.92,2.51,1.51,22.03,5.84,0,7.07,4.26,0,1.05,12.2,0,65.8,0,2.72,4.38,199.42,0.62,4.02,2.95,0,3.75,22.91,0,0,0,0,28.35,9.35,0,9.92,1.09,11.43
 96-106,0,0,6.71,0,11.14,3.46,1.07,186.08,0.96,0,36.34,5.22,0,11.6,3.09,0.6,0.92,0,0,45.5,0,2.54,4.04,173.01,0.66,12.41,1.33,0,0,38.2,0,0,0.62,0,10.08,1.27,1.27,17.6,5.63,0
108-118,0,0,6.25,0,10.53,2.52,0,99.41,2.65,0,23.31,4.99,0,9.02,1.84,2.62,1.2,0.48,0,60.98,0.93,2.63,0.71,238.9,0,7.97,3.74,0,2.78,17.52,0,0,0.42,0,17.64,3.45,0.85,10.28,0.66,5.4
120,0,0,0,0,45.4,4.98,0,198.11,1.03,7.07,21.15,22.91,0,17.84,0,0,0,9.25,0,26.73,0,0,7.52,320.05,0,42.99,0,0,0,1.46,0,0,0,0,13.39,0,0,0,0,0
